Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
1.3%,87.1,108.8,66.8,132.8,204.5,2.3,29%,69%,2%,29%,20%,14%,13%,26%
0.6%,139.5,163.9,83.5,167.6,283.9,2.0,1%,97%,2%,30%,21%,17%,17%,15%
0.3%,176.3,227.8,98.9,221.2,335.3,1.9,3%,97%,0%,31%,23%,16%,17%,14%
0.9%,143.3,166.5,79.7,164.2,288.7,2.0,3%,95%,3%,26%,23%,15%,16%,19%
1.2%,176.8,214.8,97.5,214.6,332.6,1.9,2%,94%,3%,32%,20%,13%,15%,19%
2.0%,143.8,183.8,81.3,187.4,287.7,2.0,8%,87%,5%,32%,22%,15%,15%,15%
2.0%,127.4,166.0,75.4,168.5,264.4,2.1,1%,94%,6%,30%,21%,15%,16%,18%
3.4%,111.2,169.8,67.7,189.3,240.2,2.2,4%,90%,6%,29%,23%,14%,15%,19%
0.7%,110.7,136.6,70.2,145.5,240.7,2.2,1%,97%,2%,33%,23%,14%,15%,15%
1.5%,233.2,261.7,127.1,274.2,409.2,1.8,1%,95%,4%,29%,20%,16%,17%,19%
1.9%,184.2,229.2,100.3,231.0,342.1,1.9,3%,93%,4%,28%,23%,16%,15%,18%
1.7%,86.2,148.7,70.2,156.3,212.5,2.5,1%,96%,3%,42%,23%,12%,14%,10%
1.3%,176.0,217.6,113.5,215.8,340.9,1.9,5%,92%,3%,32%,21%,16%,14%,18%
0.7%,145.6,164.6,84.6,160.4,289.7,2.0,3%,94%,3%,32%,23%,16%,15%,14%
1.0%,169.2,216.0,98.0,212.1,327.9,1.9,0%,97%,3%,32%,20%,15%,16%,16%
2.3%,119.6,162.3,74.0,167.4,252.9,2.1,4%,90%,6%,31%,22%,16%,14%,17%
1.5%,97.2,123.8,63.6,123.9,219.0,2.3,15%,80%,5%,34%,23%,15%,14%,13%
3.8%,137.9,215.1,80.1,229.6,278.6,2.0,2%,93%,5%,34%,21%,17%,15%,13%
2.0%,181.9,214.8,98.5,210.0,337.9,1.9,3%,91%,5%,29%,22%,17%,15%,17%
0.3%,132.7,183.3,76.2,205.2,271.4,2.0,1%,98%,1%,37%,23%,17%,12%,11%
1.3%,120.3,148.6,73.0,156.7,254.4,2.1,0%,96%,4%,30%,21%,14%,16%,19%
1.1%,185.7,209.1,101.0,195.2,343.4,1.8,1%,96%,3%,30%,19%,16%,16%,19%
1.4%,178.0,226.8,93.3,235.6,335.3,1.9,0%,96%,4%,31%,22%,16%,13%,18%
1.4%,106.4,137.9,69.0,144.5,233.9,2.2,1%,95%,5%,28%,25%,16%,17%,14%
3.1%,159.4,201.2,89.4,214.9,309.3,1.9,2%,90%,8%,33%,22%,14%,15%,16%
2.0%,127.4,164.3,74.7,166.8,263.8,2.1,10%,85%,5%,33%,21%,15%,15%,16%
1.2%,176.6,205.1,98.6,202.9,334.3,1.9,0%,96%,4%,28%,22%,18%,16%,15%
0.7%,115.6,148.1,73.0,150.3,248.0,2.1,0%,98%,2%,32%,26%,14%,15%,13%
2.3%,166.9,210.8,92.6,212.7,319.3,1.9,1%,93%,6%,31%,22%,15%,16%,16%
2.6%,160.9,204.0,88.5,207.3,310.7,1.9,3%,91%,7%,34%,21%,16%,14%,14%
3.6%,153.3,197.3,85.3,199.7,300.3,2.0,0%,90%,10%,31%,22%,16%,15%,16%
0.2%,90.3,113.8,76.5,114.9,222.1,2.5,5%,94%,1%,44%,25%,11%,13%,7%
2.7%,78.7,141.4,77.6,154.0,201.9,2.6,1%,95%,5%,41%,23%,13%,14%,9%
0.2%,92.9,115.8,57.6,135.6,213.0,2.3,2%,97%,0%,34%,22%,15%,12%,18%
1.1%,177.6,218.8,94.6,214.2,333.3,1.9,1%,97%,3%,26%,22%,18%,14%,20%
0.6%,114.3,142.7,83.4,143.6,258.6,2.3,15%,83%,2%,39%,24%,12%,15%,10%
1.7%,209.7,253.8,130.1,243.8,385.2,1.8,1%,94%,4%,29%,22%,15%,16%,18%
0.8%,181.5,202.9,98.2,198.0,337.8,1.9,0%,98%,2%,27%,21%,16%,16%,21%
1.1%,262.1,309.6,132.1,333.6,441.4,1.7,1%,97%,2%,30%,22%,16%,15%,16%
0.7%,130.7,178.2,86.0,189.3,280.5,2.1,1%,97%,2%,38%,24%,13%,14%,11%
1.0%,200.1,235.4,106.4,239.2,365.1,1.8,0%,97%,3%,31%,23%,18%,15%,14%
1.3%,112.9,156.7,84.3,165.3,255.4,2.3,1%,95%,4%,38%,21%,12%,14%,14%
2.7%,138.1,200.8,98.1,195.1,293.0,2.1,2%,91%,7%,39%,24%,12%,15%,11%
1.3%,119.8,154.4,71.4,159.3,253.6,2.1,0%,96%,4%,35%,23%,16%,14%,12%
1.9%,210.4,261.9,106.4,260.3,376.3,1.8,0%,95%,5%,31%,21%,15%,16%,17%
1.5%,150.8,189.3,84.8,199.2,297.2,2.0,3%,93%,4%,31%,20%,15%,16%,18%
0.3%,127.0,152.3,77.3,153.6,263.4,2.1,3%,97%,1%,27%,20%,15%,18%,20%
1.6%,223.5,265.3,123.1,291.0,397.6,1.8,2%,94%,4%,30%,24%,16%,15%,15%
0.3%,171.0,203.6,90.8,205.3,325.0,1.9,0%,99%,1%,39%,19%,14%,15%,13%
0.9%,203.8,239.3,106.5,234.9,366.3,1.8,0%,97%,3%,28%,21%,15%,18%,19%
2.8%,201.8,233.8,106.2,228.1,364.0,1.8,10%,84%,6%,27%,18%,15%,18%,22%
1.6%,174.4,211.3,94.3,203.2,328.8,1.9,1%,94%,4%,36%,24%,15%,14%,12%
0.3%,177.1,209.8,95.6,211.0,333.0,1.9,0%,99%,1%,34%,24%,15%,14%,12%
0.7%,159.6,189.6,98.9,189.5,322.3,2.0,4%,93%,2%,39%,23%,13%,15%,10%
0.5%,187.6,219.4,114.4,229.5,356.7,1.9,2%,97%,1%,34%,26%,15%,13%,12%
0.7%,235.5,279.4,132.8,297.6,414.9,1.8,1%,97%,2%,28%,22%,18%,16%,16%
0.4%,157.6,205.0,104.3,208.4,318.9,2.0,0%,99%,1%,36%,22%,13%,17%,13%
1.5%,201.8,243.2,106.1,237.5,364.2,1.8,0%,96%,4%,29%,23%,14%,16%,18%
1.0%,133.7,176.3,84.4,196.9,273.5,2.0,0%,97%,3%,35%,22%,17%,13%,14%
6.2%,136.4,228.4,80.2,250.0,279.0,2.0,11%,85%,4%,33%,22%,18%,14%,14%
1.5%,210.0,245.4,107.2,245.0,374.8,1.8,1%,95%,4%,36%,20%,15%,15%,15%
0.5%,101.5,160.1,79.9,161.2,235.8,2.3,5%,94%,1%,39%,22%,12%,15%,12%
1.0%,133.0,168.2,89.9,165.1,286.0,2.2,0%,96%,4%,39%,24%,12%,14%,11%
0.6%,192.2,218.2,100.1,225.2,352.8,1.8,4%,94%,1%,30%,21%,15%,16%,18%
1.8%,225.0,272.6,120.8,280.7,398.0,1.8,4%,92%,4%,28%,24%,15%,16%,17%
0.5%,134.3,164.0,95.6,169.7,287.8,2.1,0%,98%,2%,41%,25%,11%,14%,8%
0.8%,256.2,288.3,132.1,307.8,435.7,1.7,4%,95%,1%,27%,23%,16%,17%,17%
3.5%,179.5,278.7,98.2,283.8,338.6,1.9,2%,95%,3%,36%,21%,17%,14%,12%
1.8%,191.9,290.0,102.0,293.1,350.5,1.8,1%,98%,1%,36%,24%,17%,13%,9%
0.7%,148.9,173.7,86.4,173.3,296.9,2.0,0%,98%,2%,26%,24%,15%,15%,20%
0.0%,116.6,144.3,70.0,158.7,248.4,2.1,0%,100%,0%,37%,20%,14%,13%,16%
0.7%,160.9,224.5,105.0,217.0,323.9,2.0,0%,98%,2%,42%,24%,11%,13%,9%
1.5%,273.6,312.2,133.8,323.6,452.2,1.7,3%,94%,3%,31%,20%,14%,15%,20%
1.2%,188.6,221.5,111.8,217.2,355.7,1.9,0%,96%,4%,35%,23%,15%,14%,13%
7.4%,184.6,292.8,106.2,309.8,346.3,1.9,7%,86%,6%,35%,20%,16%,14%,14%
1.6%,203.2,240.5,104.4,238.4,365.8,1.8,0%,96%,4%,34%,23%,15%,14%,14%
0.9%,223.0,263.5,121.1,283.3,395.7,1.8,3%,95%,2%,31%,23%,16%,16%,14%
1.6%,216.0,249.9,110.7,264.1,382.1,1.8,3%,94%,4%,29%,23%,16%,16%,15%
1.5%,163.5,187.9,87.7,186.7,313.0,1.9,0%,95%,5%,33%,24%,16%,14%,14%
1.6%,198.7,240.5,103.1,249.0,360.3,1.8,2%,94%,4%,33%,24%,14%,15%,15%
0.6%,126.8,151.2,86.1,156.0,276.4,2.2,6%,91%,3%,37%,24%,12%,16%,11%
3.5%,144.9,173.8,91.3,176.3,301.6,2.1,4%,84%,13%,36%,23%,12%,14%,14%
0.8%,102.3,146.5,61.9,160.9,226.8,2.2,0%,98%,2%,36%,22%,14%,13%,15%
0.0%,153.2,183.1,83.3,183.4,302.0,2.0,1%,99%,0%,29%,22%,12%,12%,26%
2.5%,216.8,273.1,108.4,267.0,382.0,1.8,2%,93%,6%,32%,23%,17%,15%,13%
1.0%,91.1,143.2,74.0,142.0,222.2,2.4,0%,97%,3%,38%,23%,14%,15%,10%
1.7%,204.6,236.3,106.3,235.0,367.0,1.8,2%,94%,5%,29%,22%,15%,15%,18%
1.8%,114.0,147.6,75.7,157.7,245.5,2.2,25%,72%,4%,31%,23%,15%,15%,16%
2.2%,239.1,278.2,119.9,268.0,409.8,1.7,0%,95%,5%,27%,20%,16%,17%,20%
1.9%,163.1,219.0,91.6,227.7,313.5,1.9,0%,95%,5%,35%,26%,15%,13%,11%
0.0%,110.8,137.2,74.3,146.8,240.2,2.2,0%,100%,0%,38%,19%,13%,14%,16%
0.1%,214.4,252.3,106.1,269.3,380.5,1.8,2%,98%,0%,28%,22%,15%,15%,21%
0.6%,166.2,195.6,89.3,195.1,319.7,1.9,0%,98%,2%,25%,23%,16%,16%,20%
1.0%,112.6,158.1,81.5,158.5,255.5,2.3,2%,94%,3%,42%,25%,12%,13%,8%
2.3%,208.9,235.7,108.2,226.7,372.5,1.8,2%,92%,7%,30%,23%,17%,15%,15%
1.0%,193.3,237.0,103.9,237.3,353.3,1.8,0%,97%,3%,32%,23%,15%,14%,16%
0.4%,211.3,245.5,112.3,256.5,375.8,1.8,0%,99%,1%,38%,17%,12%,16%,17%
1.3%,159.4,200.7,88.5,204.3,309.4,1.9,2%,94%,3%,33%,22%,15%,15%,15%
1.9%,155.7,199.0,86.6,196.9,304.1,2.0,0%,95%,5%,33%,23%,16%,15%,13%
1.2%,188.5,241.4,114.4,229.3,359.4,1.9,3%,94%,3%,41%,24%,11%,15%,9%
1.9%,194.8,242.8,102.0,241.6,355.0,1.8,3%,93%,4%,30%,23%,15%,16%,16%
1.6%,216.8,265.3,108.7,262.4,382.6,1.8,4%,93%,3%,27%,22%,19%,14%,18%
1.8%,154.0,198.4,86.3,195.5,301.7,2.0,4%,92%,4%,35%,23%,16%,14%,13%
1.6%,125.6,151.5,88.5,153.2,274.7,2.2,8%,85%,7%,40%,21%,12%,14%,13%
0.7%,166.8,197.1,91.5,200.0,318.6,1.9,3%,95%,2%,30%,25%,17%,15%,14%
1.1%,188.6,220.1,95.5,213.2,346.6,1.8,0%,97%,3%,30%,27%,16%,16%,11%
2.6%,152.0,177.7,84.8,173.5,300.6,2.0,14%,79%,8%,30%,22%,15%,15%,19%
0.8%,212.7,254.2,109.4,261.5,377.2,1.8,3%,96%,2%,33%,24%,15%,14%,14%
0.9%,164.2,198.8,89.8,196.4,315.7,1.9,0%,97%,3%,31%,24%,17%,16%,13%
3.7%,185.8,220.7,96.5,215.7,343.5,1.8,0%,90%,10%,29%,22%,15%,17%,17%
5.9%,181.4,294.5,97.4,308.6,338.3,1.9,7%,89%,4%,37%,24%,18%,13%,9%
1.0%,264.1,315.8,125.7,343.5,438.8,1.7,0%,98%,2%,35%,24%,15%,13%,12%
3.7%,169.3,209.8,90.8,205.1,322.0,1.9,0%,90%,10%,31%,23%,17%,15%,14%
0.0%,101.8,124.3,70.7,139.6,228.7,2.2,0%,100%,0%,25%,19%,13%,14%,29%
2.4%,223.9,267.8,111.7,257.5,391.4,1.7,0%,94%,6%,32%,24%,16%,15%,13%
2.2%,226.8,268.4,113.3,263.6,394.2,1.7,19%,78%,2%,27%,23%,17%,17%,16%
8.3%,205.0,340.7,106.5,348.6,367.0,1.8,11%,86%,3%,36%,24%,18%,12%,10%
5.3%,224.5,261.2,112.1,260.0,391.8,1.7,4%,83%,13%,28%,22%,16%,17%,18%
1.9%,226.4,260.8,117.1,263.3,394.3,1.7,11%,86%,3%,24%,22%,15%,19%,20%
7.3%,106.8,165.0,75.5,172.3,235.3,2.2,54%,45%,1%,17%,18%,12%,19%,34%
0.5%,208.6,258.0,104.7,253.3,371.8,1.8,3%,97%,1%,29%,23%,17%,15%,16%
2.2%,188.4,304.0,108.5,305.2,357.2,1.9,5%,95%,0%,43%,23%,14%,13%,7%
0.0%,140.0,168.5,96.3,175.3,294.7,2.1,0%,100%,0%,41%,24%,11%,14%,10%
0.9%,195.0,230.4,99.4,225.6,354.9,1.8,0%,98%,2%,34%,23%,16%,15%,12%
1.7%,296.4,352.3,138.0,360.5,475.1,1.6,4%,94%,2%,27%,23%,18%,16%,16%
2.4%,210.9,248.9,107.8,239.5,375.2,1.8,0%,94%,6%,27%,21%,16%,16%,20%
3.3%,249.3,287.3,122.7,284.4,421.5,1.7,10%,83%,7%,30%,23%,16%,14%,16%
2.3%,237.2,287.1,114.3,289.1,406.8,1.7,0%,94%,6%,30%,24%,16%,14%,15%
3.6%,214.1,260.7,108.5,255.8,379.1,1.8,0%,91%,9%,35%,19%,13%,14%,19%
0.0%,230.4,287.2,125.3,326.1,409.6,1.8,0%,100%,0%,35%,23%,14%,16%,11%
2.1%,233.9,270.9,113.7,273.5,402.6,1.7,0%,95%,5%,31%,23%,15%,15%,16%
0.0%,118.6,142.8,78.6,174.7,252.9,2.1,0%,100%,0%,21%,18%,12%,15%,34%
0.2%,232.8,280.4,120.3,324.0,401.3,1.7,0%,100%,0%,30%,21%,16%,13%,20%
0.5%,103.4,132.1,73.8,148.2,230.9,2.2,22%,78%,0%,22%,19%,14%,13%,32%
3.9%,194.8,228.9,103.1,226.5,355.1,1.8,0%,89%,11%,34%,24%,14%,14%,14%
0.0%,199.4,237.4,99.2,244.5,360.1,1.8,0%,100%,0%,37%,25%,16%,12%,11%
0.0%,63.4,86.8,38.1,115.7,168.0,2.6,,,,,,,,
