Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
1.7%,152.4,218.1,88.9,238.8,301.9,2.0,6%,92%,2%,34%,21%,17%,14%,13%
0.4%,73.7,93.0,60.7,107.7,186.4,2.5,7%,92%,1%,27%,22%,17%,18%,17%
0.7%,152.9,172.2,101.9,162.3,307.4,2.0,0%,97%,3%,32%,19%,15%,16%,18%
1.4%,145.0,198.6,84.3,215.4,289.5,2.0,0%,96%,3%,37%,22%,18%,13%,10%
2.0%,150.8,203.3,88.1,228.7,300.0,2.0,1%,94%,5%,34%,22%,17%,14%,14%
0.8%,83.1,99.4,59.0,102.9,196.6,2.4,5%,92%,3%,30%,22%,17%,16%,15%
1.6%,145.7,209.1,85.5,226.5,290.1,2.0,0%,97%,3%,35%,21%,17%,14%,13%
3.3%,74.7,121.1,58.2,132.2,183.1,2.5,4%,92%,4%,34%,20%,15%,15%,16%
0.8%,41.7,50.3,44.3,58.2,134.8,3.2,23%,71%,7%,28%,21%,15%,17%,18%
0.8%,129.0,153.0,76.9,153.8,270.0,2.1,4%,93%,3%,32%,20%,15%,16%,18%
0.6%,95.8,124.6,70.2,132.6,218.4,2.3,2%,96%,2%,34%,22%,15%,16%,12%
1.0%,110.0,134.7,81.5,142.3,246.2,2.2,6%,90%,4%,30%,22%,16%,16%,16%
0.8%,140.7,168.6,92.1,166.3,294.0,2.1,2%,95%,3%,29%,24%,17%,15%,16%
0.8%,122.3,148.1,74.5,148.9,259.8,2.1,6%,92%,2%,28%,22%,16%,17%,17%
2.3%,120.4,158.8,75.6,180.3,254.5,2.1,4%,89%,7%,37%,25%,16%,13%,9%
2.1%,143.6,198.4,89.8,196.0,291.1,2.0,15%,82%,3%,34%,20%,14%,15%,17%
0.8%,151.4,186.5,85.7,193.9,301.7,2.0,1%,97%,2%,32%,20%,16%,14%,18%
0.6%,94.2,114.4,62.4,131.0,215.4,2.3,0%,98%,2%,29%,21%,16%,15%,20%
1.3%,166.1,195.2,103.7,188.7,325.6,2.0,2%,94%,4%,29%,23%,16%,16%,15%
1.6%,201.2,239.6,116.1,232.8,370.9,1.8,2%,93%,4%,29%,21%,16%,16%,17%
0.8%,86.1,113.8,65.2,126.7,203.7,2.4,1%,96%,3%,32%,23%,15%,16%,14%
3.2%,129.9,168.8,84.2,169.5,277.1,2.1,2%,89%,10%,27%,23%,17%,16%,17%
1.0%,113.4,162.9,81.7,167.6,252.8,2.2,2%,95%,3%,34%,22%,15%,13%,15%
2.0%,115.4,146.0,72.0,148.6,249.2,2.2,48%,48%,4%,31%,22%,18%,15%,15%
0.6%,85.6,133.9,67.7,143.1,201.4,2.4,3%,96%,1%,44%,16%,13%,13%,14%
1.7%,171.4,211.8,109.4,205.3,333.0,1.9,4%,92%,5%,31%,20%,15%,16%,19%
0.7%,79.6,107.6,59.1,117.2,193.2,2.4,1%,96%,2%,38%,20%,14%,15%,12%
2.0%,153.1,203.0,87.2,221.8,299.8,2.0,1%,94%,5%,38%,22%,17%,13%,10%
0.7%,145.8,193.2,85.3,211.4,290.4,2.0,0%,98%,2%,35%,21%,17%,14%,13%
0.7%,114.5,140.5,67.7,143.5,245.0,2.1,2%,96%,2%,31%,24%,16%,16%,13%
0.9%,73.1,93.2,58.3,104.2,180.8,2.5,27%,71%,2%,32%,23%,16%,16%,13%
1.6%,200.5,238.9,118.0,224.9,369.7,1.8,2%,94%,4%,31%,21%,15%,15%,18%
0.3%,104.8,119.5,75.6,124.1,236.0,2.3,2%,97%,2%,34%,24%,16%,14%,12%
1.9%,147.6,190.1,82.1,197.6,293.0,2.0,1%,94%,5%,27%,20%,18%,14%,21%
1.5%,88.9,115.4,59.9,121.0,206.4,2.3,57%,41%,2%,32%,20%,18%,16%,14%
0.7%,107.5,139.9,80.3,152.6,244.0,2.3,9%,89%,2%,33%,25%,15%,14%,12%
0.2%,86.9,103.8,77.7,105.0,217.7,2.5,18%,80%,2%,41%,22%,11%,13%,11%
0.8%,157.5,199.5,88.7,209.9,309.8,2.0,1%,97%,2%,31%,19%,15%,14%,21%
0.9%,171.8,210.4,115.2,210.5,336.4,2.0,2%,95%,3%,31%,24%,16%,15%,14%
2.3%,91.9,156.2,77.7,167.2,223.8,2.4,0%,95%,5%,41%,23%,13%,14%,10%
2.4%,114.7,150.7,72.7,154.7,248.6,2.2,8%,86%,6%,28%,22%,16%,16%,18%
0.7%,114.3,157.0,75.2,183.6,247.3,2.2,1%,97%,2%,33%,22%,20%,15%,11%
1.0%,94.2,116.9,64.9,125.7,215.5,2.3,12%,85%,3%,30%,17%,15%,18%,20%
3.3%,158.7,215.5,89.1,226.3,307.6,1.9,2%,90%,8%,36%,22%,18%,13%,11%
0.4%,103.4,130.5,65.7,133.0,231.0,2.2,3%,96%,1%,29%,25%,17%,15%,14%
1.0%,122.8,147.8,81.2,150.7,262.5,2.1,8%,88%,3%,28%,22%,15%,16%,19%
0.4%,153.5,173.4,96.7,167.7,305.9,2.0,1%,98%,2%,28%,19%,17%,18%,18%
2.3%,137.3,172.1,79.6,172.3,281.2,2.0,5%,89%,6%,24%,22%,19%,15%,20%
1.6%,118.9,164.7,76.4,189.7,252.0,2.1,0%,95%,4%,35%,22%,18%,13%,12%
1.8%,147.3,200.9,86.0,215.8,293.2,2.0,4%,92%,4%,40%,20%,16%,14%,10%
1.6%,121.9,152.1,74.8,152.5,256.5,2.1,1%,93%,5%,33%,21%,15%,16%,15%
0.4%,122.4,142.4,86.7,144.5,264.4,2.2,2%,96%,2%,26%,21%,17%,17%,18%
0.3%,108.6,131.4,88.7,141.4,252.2,2.3,16%,82%,2%,42%,23%,11%,14%,10%
0.3%,94.6,115.0,83.5,116.9,229.7,2.4,16%,82%,2%,39%,23%,12%,14%,12%
0.4%,86.9,107.3,59.2,114.1,202.9,2.3,2%,97%,1%,30%,26%,16%,16%,12%
2.1%,135.6,174.9,78.7,178.1,276.5,2.0,1%,93%,6%,32%,23%,15%,15%,15%
5.6%,150.1,255.9,94.4,277.8,300.2,2.0,4%,92%,4%,36%,23%,17%,13%,11%
0.7%,141.6,171.6,89.3,179.1,288.7,2.0,1%,97%,2%,31%,23%,16%,15%,14%
2.2%,74.8,98.0,59.4,113.2,184.0,2.5,20%,74%,5%,29%,23%,15%,16%,18%
2.2%,155.2,223.0,90.7,234.4,303.1,2.0,4%,93%,4%,37%,22%,18%,13%,10%
0.8%,101.4,136.3,69.1,144.7,226.5,2.2,1%,97%,2%,34%,23%,14%,15%,13%
2.9%,174.7,202.1,107.5,198.0,335.5,1.9,0%,90%,10%,31%,21%,16%,15%,17%
0.8%,91.1,129.6,68.1,136.4,214.9,2.4,2%,96%,2%,31%,21%,15%,16%,18%
0.8%,135.1,176.6,78.9,196.7,274.9,2.0,0%,97%,2%,34%,23%,18%,14%,11%
0.6%,102.2,122.8,66.9,126.8,227.3,2.2,17%,81%,2%,36%,26%,14%,12%,12%
1.2%,185.7,208.0,103.8,208.6,348.6,1.9,1%,95%,4%,32%,25%,16%,15%,12%
0.8%,82.6,128.5,63.0,130.7,197.6,2.4,2%,96%,2%,29%,22%,18%,17%,14%
1.1%,152.4,209.8,90.5,202.5,299.8,2.0,5%,93%,2%,33%,24%,15%,15%,12%
0.7%,139.7,161.4,96.1,159.0,290.9,2.1,2%,96%,3%,34%,23%,16%,14%,13%
2.7%,157.5,221.5,91.0,241.3,306.8,1.9,4%,91%,5%,37%,22%,17%,13%,11%
0.6%,137.3,179.1,82.9,180.6,281.8,2.1,3%,95%,1%,32%,19%,17%,16%,16%
1.6%,140.8,183.4,78.5,183.4,283.9,2.0,1%,95%,4%,38%,18%,14%,15%,15%
1.7%,180.7,214.0,110.2,206.6,345.3,1.9,1%,94%,5%,32%,19%,15%,16%,19%
1.7%,164.6,202.6,91.6,207.0,316.4,1.9,0%,95%,5%,31%,22%,16%,15%,17%
1.1%,125.3,136.5,77.8,138.6,261.0,2.1,2%,93%,5%,31%,22%,15%,14%,17%
0.8%,165.8,189.7,102.5,180.7,324.9,2.0,2%,95%,3%,35%,21%,14%,15%,16%
0.9%,124.7,137.5,75.2,132.6,262.6,2.1,7%,88%,4%,27%,23%,17%,16%,18%
0.5%,96.3,121.2,82.2,133.4,226.9,2.4,13%,86%,2%,33%,21%,15%,15%,16%
1.2%,138.3,189.7,83.2,186.1,280.5,2.0,1%,96%,3%,32%,25%,16%,15%,13%
0.9%,138.8,183.3,82.1,193.6,287.0,2.1,0%,97%,2%,33%,22%,16%,12%,16%
4.2%,87.4,112.0,61.1,115.6,204.1,2.3,14%,72%,14%,28%,21%,15%,18%,19%
2.3%,104.9,165.3,71.3,184.2,230.5,2.2,2%,94%,4%,38%,22%,18%,13%,10%
4.8%,95.8,110.7,61.2,117.8,216.3,2.3,8%,70%,22%,31%,23%,16%,16%,13%
0.7%,100.8,127.0,75.5,138.3,232.1,2.3,9%,89%,2%,32%,19%,15%,16%,17%
1.3%,95.9,145.8,77.9,151.1,226.1,2.4,5%,92%,3%,33%,22%,15%,16%,14%
1.3%,142.3,166.5,79.8,166.2,287.6,2.0,1%,95%,4%,25%,22%,17%,17%,19%
0.4%,111.3,135.0,79.2,147.5,255.2,2.3,23%,75%,2%,40%,24%,12%,13%,10%
1.1%,51.2,97.5,56.9,97.6,156.8,3.1,2%,97%,1%,35%,23%,12%,16%,14%
0.9%,151.0,172.8,92.0,167.9,306.2,2.0,3%,94%,3%,24%,22%,19%,15%,20%
1.7%,87.9,115.6,60.5,133.7,205.5,2.3,44%,55%,1%,28%,22%,15%,17%,18%
0.8%,138.9,161.1,86.2,163.0,283.8,2.0,1%,96%,3%,30%,22%,18%,16%,13%
0.9%,135.0,164.6,79.2,169.3,275.8,2.0,0%,97%,3%,30%,20%,15%,16%,19%
1.2%,63.5,80.8,49.6,82.8,164.1,2.6,12%,83%,4%,32%,22%,16%,16%,15%
1.2%,147.8,197.5,103.1,195.8,304.8,2.1,2%,95%,3%,32%,23%,17%,14%,14%
0.2%,173.3,196.3,100.5,189.6,337.3,1.9,5%,95%,1%,28%,22%,16%,15%,19%
0.9%,78.9,102.6,62.4,115.6,190.9,2.4,11%,87%,2%,34%,23%,14%,14%,15%
1.0%,141.9,175.1,83.5,178.7,288.0,2.0,1%,96%,3%,39%,21%,14%,13%,12%
0.9%,140.6,171.8,82.5,169.4,285.7,2.0,1%,96%,3%,26%,25%,16%,16%,17%
1.1%,99.6,144.0,71.3,165.5,223.1,2.2,1%,96%,3%,39%,20%,17%,13%,12%
1.1%,152.0,203.6,92.3,211.8,305.6,2.0,1%,96%,3%,32%,21%,16%,15%,16%
1.5%,186.6,225.6,117.6,216.2,355.1,1.9,2%,94%,4%,28%,20%,16%,15%,22%
1.1%,144.9,192.0,84.7,191.9,290.0,2.0,1%,96%,3%,31%,23%,17%,15%,15%
1.2%,121.7,151.2,74.8,156.6,256.1,2.1,3%,94%,4%,29%,23%,16%,16%,16%
0.8%,103.2,125.8,65.5,135.6,228.9,2.2,3%,94%,3%,30%,23%,16%,16%,15%
2.9%,109.9,174.3,77.4,197.9,242.6,2.2,2%,92%,6%,37%,24%,17%,13%,9%
0.4%,131.2,141.8,80.1,141.9,269.4,2.1,2%,96%,2%,34%,20%,15%,13%,17%
1.8%,212.2,248.1,129.4,243.7,387.0,1.8,1%,94%,5%,28%,20%,19%,15%,18%
1.7%,193.5,224.9,103.2,218.9,354.1,1.8,0%,95%,5%,31%,20%,15%,16%,18%
1.7%,191.2,232.0,96.5,238.2,350.8,1.8,3%,93%,4%,33%,21%,16%,13%,17%
1.3%,187.5,218.9,99.6,211.8,346.7,1.8,0%,96%,4%,36%,16%,13%,16%,18%
1.3%,189.0,223.5,112.0,216.7,354.5,1.9,3%,94%,4%,29%,22%,16%,16%,17%
1.5%,174.0,196.9,106.8,188.3,336.1,1.9,2%,93%,5%,33%,23%,16%,14%,13%
0.9%,96.0,128.3,66.9,136.8,218.5,2.3,3%,95%,3%,30%,22%,16%,17%,16%
1.9%,120.2,174.7,75.2,172.7,254.4,2.1,0%,95%,5%,34%,20%,16%,15%,14%
1.2%,194.6,234.8,102.8,225.6,355.3,1.8,2%,95%,3%,24%,18%,18%,16%,25%
0.9%,84.2,123.6,61.9,135.5,198.6,2.4,9%,89%,1%,32%,26%,16%,15%,11%
0.2%,95.9,110.9,80.8,118.6,232.2,2.4,4%,95%,2%,43%,21%,11%,14%,10%
0.9%,128.8,186.1,78.3,181.3,266.7,2.1,4%,95%,2%,32%,24%,16%,16%,12%
0.6%,129.3,153.3,77.6,151.5,269.4,2.1,1%,96%,2%,30%,23%,16%,15%,16%
1.0%,182.6,218.6,94.3,216.8,339.8,1.9,2%,95%,3%,33%,26%,16%,13%,12%
1.0%,151.5,173.0,85.6,173.5,297.2,2.0,1%,95%,3%,32%,22%,15%,14%,16%
1.5%,54.8,78.5,47.5,83.8,152.6,2.8,1%,94%,5%,25%,22%,16%,18%,19%
1.6%,176.2,210.0,106.8,205.4,338.8,1.9,1%,94%,5%,31%,22%,16%,15%,16%
2.7%,113.8,179.7,70.0,204.8,243.7,2.1,1%,95%,4%,37%,22%,17%,13%,11%
1.0%,163.3,201.8,95.3,210.1,315.0,1.9,3%,94%,3%,32%,25%,15%,14%,14%
1.2%,190.4,234.6,110.3,226.0,356.4,1.9,1%,96%,3%,35%,24%,17%,13%,11%
0.9%,97.3,140.7,69.2,146.2,220.3,2.3,1%,97%,2%,31%,22%,15%,16%,16%
1.2%,143.8,190.4,94.4,191.4,296.6,2.1,0%,97%,3%,29%,23%,17%,17%,14%
1.2%,148.9,204.2,98.5,197.9,308.1,2.1,0%,96%,3%,40%,24%,12%,13%,10%
1.3%,234.6,272.1,124.8,290.6,410.1,1.7,2%,95%,3%,31%,23%,17%,14%,14%
2.9%,175.4,246.3,94.6,267.1,330.9,1.9,5%,91%,3%,36%,21%,17%,13%,13%
1.1%,136.1,171.3,80.3,177.1,277.3,2.0,1%,95%,3%,31%,23%,17%,16%,13%
1.0%,221.6,259.5,108.7,276.7,388.6,1.8,1%,97%,3%,30%,24%,16%,14%,16%
1.9%,121.3,157.7,75.5,166.2,256.0,2.1,0%,94%,6%,29%,24%,16%,16%,16%
1.9%,187.2,235.8,114.2,236.0,353.5,1.9,2%,94%,5%,29%,22%,16%,15%,17%
1.3%,100.1,147.7,69.6,149.4,224.2,2.2,4%,94%,3%,30%,22%,16%,17%,15%
1.2%,150.0,185.3,99.5,182.4,305.9,2.0,4%,92%,4%,37%,23%,15%,13%,12%
0.7%,189.7,227.3,105.4,218.5,348.8,1.8,6%,93%,1%,36%,20%,14%,15%,15%
2.6%,79.1,144.6,64.4,151.6,205.8,2.6,6%,92%,2%,37%,24%,13%,15%,11%
2.1%,144.5,192.4,84.4,193.8,288.3,2.0,1%,94%,5%,30%,21%,15%,17%,17%
0.4%,125.1,175.8,80.4,181.7,267.2,2.1,1%,98%,1%,34%,24%,17%,14%,12%
1.3%,154.2,185.2,89.0,191.2,301.2,2.0,0%,96%,4%,32%,22%,16%,14%,15%
2.4%,220.4,247.1,113.6,239.1,387.1,1.8,2%,92%,7%,29%,24%,16%,15%,16%
2.0%,178.4,211.0,94.3,211.0,336.1,1.9,5%,90%,5%,25%,21%,14%,15%,25%
3.6%,101.2,166.2,65.3,184.1,225.6,2.2,2%,93%,5%,31%,22%,15%,15%,16%
3.7%,172.4,215.1,95.5,209.8,326.5,1.9,3%,88%,9%,29%,19%,15%,17%,20%
