Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
0.8%,102.5,115.5,87.3,125.9,306.0,3.0,8%,88%,4%,30%,21%,15%,16%,18%
3.7%,120.1,158.5,95.3,167.5,339.3,2.8,3%,92%,4%,30%,21%,16%,16%,18%
2.5%,138.3,168.9,104.5,192.4,372.6,2.7,1%,97%,2%,32%,21%,15%,15%,17%
2.8%,136.2,170.1,97.9,177.5,367.5,2.7,1%,97%,2%,31%,21%,15%,15%,18%
8.4%,214.9,262.6,117.4,263.6,494.2,2.3,1%,95%,4%,30%,21%,14%,18%,17%
5.2%,91.6,148.3,84.3,153.4,288.1,3.1,1%,97%,3%,30%,22%,16%,16%,17%
15.5%,79.2,154.2,73.3,173.9,259.9,3.3,5%,89%,6%,31%,22%,16%,15%,16%
18.6%,82.7,170.6,75.4,186.1,267.2,3.2,5%,89%,6%,30%,23%,16%,16%,16%
0.4%,75.3,83.0,67.6,91.1,245.5,3.3,16%,81%,3%,33%,22%,14%,16%,15%
7.9%,85.5,145.8,72.7,152.8,272.7,3.2,3%,93%,3%,33%,22%,16%,14%,16%
2.1%,103.4,113.3,81.3,148.2,303.9,2.9,7%,90%,4%,27%,19%,15%,16%,24%
7.6%,204.8,246.8,115.7,248.2,477.3,2.3,2%,94%,5%,28%,22%,16%,16%,18%
5.6%,170.9,202.9,100.3,214.2,421.2,2.5,3%,95%,2%,26%,20%,17%,19%,19%
2.7%,87.0,126.2,89.0,137.2,277.9,3.2,21%,76%,3%,33%,21%,15%,14%,16%
4.7%,118.5,146.3,96.6,192.9,336.8,2.8,5%,93%,3%,32%,22%,16%,15%,15%
2.9%,116.6,149.4,89.0,158.3,330.9,2.8,3%,94%,3%,29%,21%,16%,16%,18%
2.8%,130.5,151.8,103.8,192.6,360.7,2.8,2%,95%,3%,31%,23%,15%,15%,16%
0.0%,4.5,5.7,47.9,16.9,96.5,21.3,13%,82%,5%,29%,21%,17%,16%,17%
5.4%,96.4,118.3,69.9,144.5,283.0,2.9,12%,83%,5%,28%,21%,15%,17%,19%
0.8%,88.9,98.5,68.0,99.3,268.9,3.0,15%,82%,3%,28%,22%,15%,16%,19%
5.3%,184.3,217.7,103.2,235.8,442.2,2.4,0%,98%,2%,29%,22%,18%,15%,15%
5.2%,121.0,154.0,80.7,164.9,330.2,2.7,1%,96%,3%,26%,22%,15%,16%,21%
4.8%,221.4,266.4,130.3,267.3,510.3,2.3,1%,97%,3%,38%,25%,13%,12%,13%
5.0%,113.1,140.7,76.3,152.9,315.6,2.8,10%,85%,5%,31%,24%,15%,13%,18%
9.4%,202.3,250.2,109.9,249.0,474.1,2.3,1%,95%,4%,30%,21%,13%,16%,21%
2.9%,106.1,127.8,76.4,154.5,302.2,2.8,4%,93%,3%,31%,23%,15%,15%,17%
4.5%,132.3,157.3,82.4,173.3,351.1,2.7,3%,94%,3%,31%,21%,15%,14%,19%
3.3%,105.3,129.3,73.7,139.1,300.7,2.9,5%,91%,4%,29%,22%,15%,15%,19%
4.7%,190.8,218.9,104.9,224.3,452.7,2.4,1%,97%,2%,29%,22%,15%,16%,17%
4.5%,125.7,159.1,82.5,170.2,338.8,2.7,1%,97%,2%,31%,22%,15%,15%,18%
3.0%,105.0,129.5,76.5,155.1,300.0,2.9,4%,93%,3%,34%,22%,16%,14%,14%
4.0%,133.1,155.5,85.3,176.3,353.1,2.7,3%,94%,3%,28%,21%,16%,15%,20%
10.0%,206.3,251.7,110.9,248.0,478.6,2.3,5%,86%,8%,33%,20%,14%,15%,18%
7.0%,213.0,251.8,115.4,254.9,489.2,2.3,1%,96%,3%,31%,21%,15%,15%,18%
4.2%,141.3,159.6,88.2,189.1,367.3,2.6,4%,93%,3%,28%,21%,16%,15%,19%
5.0%,118.0,148.6,81.8,170.2,325.4,2.8,7%,90%,3%,32%,25%,14%,13%,17%
1.7%,101.1,111.8,69.8,125.6,292.5,2.9,5%,90%,4%,29%,21%,14%,16%,20%
2.8%,105.4,132.5,73.1,147.4,302.7,2.9,3%,94%,3%,35%,23%,16%,13%,13%
4.0%,110.1,132.9,76.7,160.0,309.5,2.8,6%,91%,3%,30%,21%,15%,15%,19%
5.6%,140.4,173.2,86.1,190.7,366.0,2.6,1%,96%,3%,31%,22%,15%,14%,18%
1.2%,82.9,97.8,66.6,99.5,256.5,3.1,25%,72%,3%,30%,21%,16%,15%,19%
4.4%,115.5,141.3,77.9,158.4,319.9,2.8,4%,92%,5%,30%,21%,15%,15%,19%
4.0%,122.7,156.1,80.1,162.2,333.9,2.7,2%,96%,2%,34%,22%,14%,13%,16%
9.9%,82.0,133.4,61.6,148.4,252.6,3.1,4%,94%,3%,31%,22%,15%,15%,17%
7.9%,187.8,230.4,103.9,232.5,447.9,2.4,4%,95%,1%,27%,22%,14%,16%,21%
8.4%,178.9,220.5,99.5,221.1,433.1,2.4,9%,89%,2%,27%,21%,15%,17%,21%
0.8%,74.3,96.1,65.3,96.3,241.2,3.2,14%,83%,2%,31%,20%,16%,15%,18%
1.9%,98.0,112.1,68.2,113.1,286.0,2.9,17%,78%,4%,29%,21%,16%,15%,19%
5.7%,115.8,154.3,77.1,161.5,320.5,2.8,3%,94%,3%,28%,21%,16%,17%,19%
5.3%,134.2,165.8,84.5,183.9,354.8,2.6,2%,96%,2%,31%,20%,15%,15%,19%
5.1%,132.3,165.5,82.3,170.2,350.9,2.7,2%,94%,4%,32%,21%,14%,15%,18%
7.3%,210.5,250.1,112.0,253.7,485.5,2.3,1%,96%,3%,29%,21%,15%,17%,18%
6.1%,92.8,149.8,77.5,151.5,286.4,3.1,1%,96%,3%,30%,21%,16%,16%,17%
21.3%,76.2,157.2,58.9,166.0,242.4,3.2,13%,81%,6%,32%,21%,15%,15%,17%
18.9%,80.1,159.8,61.2,173.3,249.9,3.1,2%,92%,5%,29%,24%,16%,15%,16%
0.3%,70.8,79.6,59.0,79.7,228.8,3.2,17%,80%,2%,33%,23%,13%,15%,16%
10.8%,85.4,145.7,61.1,154.2,261.0,3.1,3%,94%,3%,35%,21%,14%,13%,17%
2.7%,98.9,109.9,71.0,139.4,287.8,2.9,3%,93%,3%,23%,17%,13%,16%,31%
7.9%,200.4,241.9,109.9,242.7,468.6,2.3,4%,92%,4%,29%,21%,16%,15%,19%
6.2%,166.6,197.6,96.0,208.6,412.6,2.5,2%,94%,4%,27%,20%,16%,18%,20%
10.1%,82.6,124.0,64.9,132.7,254.4,3.1,45%,53%,2%,28%,21%,16%,16%,19%
5.2%,114.0,142.1,77.4,166.2,316.7,2.8,6%,90%,3%,30%,21%,15%,16%,18%
4.8%,113.1,143.6,76.8,151.3,315.0,2.8,5%,91%,4%,29%,21%,16%,16%,18%
2.2%,126.0,148.3,92.0,172.1,346.8,2.8,2%,95%,3%,30%,23%,15%,15%,17%
0.4%,9.1,15.4,39.7,58.7,119.2,13.1,38%,59%,3%,28%,22%,16%,17%,18%
1.7%,91.9,104.9,78.9,148.9,277.9,3.0,6%,91%,3%,30%,22%,17%,16%,15%
3.6%,40.5,47.0,59.3,104.3,175.8,4.3,48%,47%,5%,28%,21%,16%,17%,19%
1.6%,127.2,147.4,101.3,179.2,349.2,2.7,1%,96%,3%,37%,24%,13%,13%,13%
1.9%,27.3,33.5,45.6,86.1,166.0,6.1,50%,45%,5%,29%,21%,16%,16%,18%
4.6%,132.1,153.4,86.2,171.1,353.4,2.7,1%,94%,5%,24%,18%,16%,18%,24%
0.8%,14.1,17.5,44.0,69.1,130.5,9.3,40%,55%,5%,29%,23%,16%,16%,16%
3.7%,49.6,59.1,53.0,110.3,188.2,3.8,43%,51%,5%,30%,21%,16%,16%,18%
2.7%,20.5,26.2,41.8,79.6,143.8,7.0,56%,39%,5%,28%,21%,16%,17%,18%
1.9%,100.3,117.6,87.7,157.8,297.5,3.0,4%,93%,3%,30%,22%,16%,16%,17%
4.8%,55.2,65.6,54.7,112.3,197.7,3.6,50%,44%,6%,30%,21%,15%,16%,17%
0.1%,8.7,13.3,42.0,55.6,115.8,13.3,38%,57%,5%,30%,22%,16%,16%,16%
4.8%,40.8,51.4,52.5,105.4,172.2,4.2,22%,74%,4%,26%,21%,16%,17%,20%
1.6%,112.8,127.1,88.7,166.4,318.7,2.8,2%,95%,3%,31%,21%,15%,16%,17%
4.7%,120.2,142.0,80.2,168.7,328.6,2.7,3%,92%,5%,28%,20%,17%,16%,20%
3.0%,50.4,61.2,57.4,118.6,189.5,3.8,15%,81%,5%,30%,21%,16%,15%,18%
2.2%,22.5,31.7,47.0,84.2,150.6,6.7,47%,48%,5%,30%,22%,15%,16%,17%
0.3%,9.3,12.1,36.8,53.3,120.0,12.9,39%,55%,6%,29%,21%,16%,17%,18%
0.1%,9.7,15.1,42.7,54.9,124.0,12.8,28%,68%,5%,32%,23%,16%,15%,15%
2.5%,14.8,22.2,41.0,74.5,133.1,9.0,53%,42%,6%,29%,21%,16%,16%,18%
4.9%,65.4,74.8,58.1,129.4,216.8,3.3,40%,55%,4%,29%,22%,15%,17%,18%
1.4%,14.1,20.7,39.7,68.9,129.7,9.2,40%,56%,3%,28%,22%,16%,16%,18%
4.6%,22.8,32.1,45.5,96.4,146.3,6.4,56%,39%,5%,28%,22%,16%,17%,18%
2.7%,48.7,55.6,55.5,109.6,187.3,3.8,37%,58%,5%,31%,21%,15%,16%,17%
3.0%,45.3,58.7,54.1,106.8,183.7,4.1,20%,77%,3%,30%,22%,16%,17%,16%
5.6%,117.7,135.6,77.8,166.3,323.9,2.8,7%,87%,6%,26%,22%,15%,17%,20%
4.7%,110.4,125.7,73.6,156.1,309.9,2.8,6%,89%,5%,24%,21%,16%,16%,23%
4.6%,38.4,59.8,52.4,87.2,177.0,4.6,38%,55%,7%,29%,20%,16%,17%,19%
1.0%,15.3,22.3,41.6,67.1,135.6,8.9,46%,51%,3%,28%,21%,16%,17%,19%
3.7%,37.2,44.2,54.8,96.2,168.9,4.5,50%,44%,6%,28%,21%,16%,17%,18%
3.3%,58.0,67.3,63.9,124.0,205.5,3.5,40%,55%,5%,29%,21%,15%,16%,19%
2.0%,63.3,74.1,66.4,121.6,215.1,3.4,25%,72%,4%,28%,20%,15%,17%,19%
3.7%,116.1,133.4,78.3,170.2,321.1,2.8,0%,96%,4%,29%,21%,16%,17%,17%
6.8%,153.4,195.2,96.8,213.0,398.2,2.6,1%,95%,4%,31%,21%,15%,16%,17%
4.1%,78.3,101.2,59.5,129.6,246.8,3.2,1%,94%,5%,30%,21%,16%,16%,16%
4.3%,86.3,109.2,63.9,136.9,263.1,3.1,1%,94%,5%,27%,23%,16%,17%,16%
0.3%,25.6,33.4,44.6,74.0,161.1,6.3,37%,60%,3%,28%,22%,15%,17%,18%
5.1%,130.8,166.1,86.9,191.7,356.9,2.7,1%,96%,3%,33%,22%,15%,15%,15%
0.0%,4.9,6.0,32.7,23.6,87.6,17.8,26%,70%,4%,26%,20%,15%,16%,22%
3.1%,106.9,120.3,77.0,159.8,302.9,2.8,2%,93%,5%,28%,21%,15%,16%,20%
4.1%,81.3,96.5,67.5,141.7,251.8,3.1,12%,83%,5%,25%,20%,17%,18%,19%
0.3%,27.5,35.6,53.3,87.3,169.0,6.1,35%,62%,3%,30%,22%,16%,15%,17%
1.4%,17.7,21.6,43.1,73.1,145.7,8.2,50%,45%,5%,28%,21%,16%,17%,17%
4.4%,68.4,94.3,67.6,135.3,253.3,3.7,30%,65%,5%,28%,21%,15%,17%,18%
4.5%,31.9,42.8,46.1,88.8,153.8,4.8,44%,49%,7%,27%,21%,16%,18%,18%
2.6%,97.1,113.0,73.6,152.0,284.5,2.9,3%,93%,4%,30%,24%,17%,16%,14%
3.0%,40.7,48.7,54.5,91.2,172.6,4.2,41%,53%,6%,26%,23%,15%,17%,20%
2.8%,133.3,149.5,86.9,186.4,353.1,2.6,1%,97%,2%,31%,22%,14%,16%,17%
0.8%,28.5,37.6,49.9,81.1,170.5,6.0,52%,40%,7%,29%,22%,15%,16%,18%
5.1%,132.4,168.1,86.1,174.9,354.3,2.7,1%,97%,3%,26%,19%,15%,18%,21%
0.2%,17.7,22.4,52.0,71.4,147.0,8.3,41%,55%,4%,29%,23%,15%,16%,16%
2.2%,50.9,61.9,56.5,105.3,191.2,3.8,25%,70%,4%,31%,22%,15%,15%,17%
0.6%,20.4,27.9,46.3,63.9,144.5,7.1,48%,42%,9%,28%,22%,14%,17%,18%
2.5%,104.9,123.5,75.9,162.9,299.5,2.9,1%,97%,2%,29%,24%,14%,17%,16%
1.8%,53.6,61.8,58.4,99.4,195.8,3.7,37%,57%,6%,30%,22%,15%,16%,17%
1.8%,17.2,31.4,49.6,88.1,144.5,8.4,29%,67%,5%,31%,23%,16%,16%,15%
3.3%,45.5,54.8,58.5,113.8,181.8,4.0,24%,72%,4%,27%,22%,15%,17%,20%
3.0%,118.5,134.0,82.4,166.6,326.3,2.8,7%,88%,4%,33%,22%,14%,16%,16%
2.7%,125.7,144.2,85.9,177.0,339.6,2.7,7%,91%,2%,31%,23%,15%,16%,16%
3.2%,54.6,64.7,62.4,126.9,197.3,3.6,25%,72%,3%,30%,22%,15%,15%,18%
1.8%,29.1,39.5,54.5,97.7,172.4,5.9,33%,62%,5%,30%,24%,14%,15%,17%
0.0%,12.3,18.0,44.5,53.5,123.3,10.0,39%,57%,3%,27%,22%,16%,17%,19%
1.2%,18.7,33.6,48.2,87.7,152.5,8.2,20%,77%,4%,32%,23%,16%,15%,13%
3.3%,21.1,31.8,48.5,91.1,146.2,6.9,45%,48%,6%,28%,22%,16%,17%,18%
2.6%,65.3,74.8,61.0,119.5,217.2,3.3,36%,61%,3%,30%,22%,15%,16%,17%
0.0%,10.6,15.8,37.6,30.8,113.1,10.7,33%,64%,3%,28%,21%,16%,16%,18%
2.2%,27.3,36.4,50.7,96.4,166.1,6.1,44%,51%,5%,28%,22%,15%,16%,18%
1.6%,47.6,56.8,57.5,93.6,186.0,3.9,31%,62%,6%,32%,22%,14%,15%,16%
2.2%,46.5,58.6,51.8,92.8,183.5,3.9,27%,69%,3%,31%,22%,15%,17%,16%
4.4%,117.8,140.1,79.3,156.1,324.9,2.8,1%,92%,6%,27%,24%,14%,16%,19%
3.3%,110.1,131.0,75.6,148.5,310.1,2.8,4%,92%,4%,25%,21%,15%,17%,22%
0.2%,29.5,49.0,43.5,56.6,172.7,5.9,37%,58%,5%,27%,20%,16%,18%,19%
0.0%,13.0,17.4,38.6,29.4,125.3,9.7,35%,62%,3%,28%,22%,15%,17%,18%
2.7%,36.5,44.4,50.8,81.3,164.5,4.5,35%,59%,6%,27%,22%,16%,18%,18%
3.9%,57.9,69.7,58.7,116.7,203.1,3.5,40%,56%,4%,30%,21%,15%,16%,18%
2.0%,61.8,71.2,60.5,104.0,209.2,3.4,33%,61%,6%,30%,22%,15%,16%,17%
3.1%,122.2,140.0,82.7,176.0,333.5,2.7,1%,95%,4%,30%,22%,14%,17%,16%
6.8%,150.3,183.4,87.0,197.9,385.8,2.6,1%,94%,5%,31%,21%,13%,16%,19%
1.3%,77.9,92.9,62.8,114.5,246.8,3.2,6%,92%,2%,31%,22%,15%,16%,16%
2.1%,86.0,101.8,65.6,121.9,263.4,3.1,5%,91%,5%,28%,24%,16%,16%,16%
0.0%,18.7,23.5,46.8,36.4,155.5,8.3,30%,67%,3%,27%,22%,15%,18%,18%
3.8%,128.7,152.7,80.1,172.6,346.8,2.7,0%,97%,3%,34%,22%,14%,15%,15%
1.5%,13.7,23.5,45.8,76.5,129.0,9.4,35%,62%,3%,26%,20%,15%,18%,21%
3.1%,112.6,127.7,80.6,162.9,314.6,2.8,4%,92%,4%,29%,23%,14%,15%,19%
3.1%,84.2,98.8,70.7,129.4,258.7,3.1,13%,81%,6%,26%,22%,16%,17%,18%
0.0%,28.4,38.6,49.6,64.2,170.7,6.0,33%,63%,4%,30%,22%,15%,15%,18%
3.1%,26.3,36.9,49.1,95.2,162.8,6.2,42%,52%,5%,28%,21%,16%,17%,18%
5.6%,63.1,89.6,57.9,108.1,212.1,3.4,28%,67%,5%,28%,22%,15%,17%,17%
4.7%,37.5,47.6,53.7,104.0,177.9,4.7,38%,55%,7%,29%,22%,15%,16%,17%
1.1%,64.9,86.2,66.1,98.5,219.8,3.4,15%,81%,4%,30%,22%,17%,16%,16%
0.2%,38.0,45.2,53.4,80.9,165.2,4.3,16%,82%,3%,33%,23%,15%,15%,15%
0.8%,71.2,91.7,68.5,106.6,234.3,3.3,17%,80%,3%,31%,23%,17%,15%,13%
14.0%,73.7,134.0,61.1,162.9,236.2,3.2,1%,97%,3%,29%,22%,17%,17%,15%
1.0%,79.4,88.9,65.1,100.5,247.5,3.1,9%,86%,5%,29%,24%,17%,16%,13%
1.0%,54.4,76.5,63.2,89.7,201.9,3.7,18%,77%,5%,32%,22%,16%,15%,14%
1.5%,79.0,97.7,62.7,118.8,246.3,3.1,5%,93%,2%,31%,23%,18%,16%,12%
0.0%,11.2,13.6,47.4,28.7,121.4,10.8,20%,77%,3%,29%,23%,16%,16%,16%
3.2%,67.9,96.1,61.7,116.4,221.4,3.3,16%,82%,2%,32%,23%,17%,15%,13%
0.8%,84.3,97.6,75.0,115.3,262.3,3.1,6%,90%,4%,33%,23%,17%,15%,12%
0.1%,51.6,60.9,53.1,68.8,191.7,3.7,29%,68%,2%,28%,23%,17%,16%,17%
0.0%,22.5,33.2,49.7,61.7,149.6,6.6,28%,69%,3%,30%,21%,16%,16%,18%
0.1%,28.7,40.9,51.4,71.7,169.3,5.9,23%,74%,3%,30%,21%,16%,16%,16%
0.0%,43.0,52.2,49.9,60.1,175.6,4.1,35%,63%,3%,31%,22%,17%,15%,15%
0.5%,69.7,79.5,61.8,84.5,226.6,3.3,16%,80%,4%,30%,24%,17%,15%,14%
1.7%,84.8,97.4,66.3,120.4,258.7,3.1,9%,87%,3%,28%,23%,17%,16%,16%
0.7%,85.3,98.0,71.4,110.3,266.4,3.1,8%,89%,3%,33%,23%,17%,15%,11%
0.3%,77.1,88.5,74.7,101.0,248.1,3.2,12%,85%,3%,32%,23%,16%,15%,14%
0.5%,56.0,71.5,64.3,94.2,203.5,3.6,27%,69%,3%,31%,21%,16%,16%,17%
2.4%,105.8,124.5,79.9,165.9,304.1,2.9,4%,94%,2%,31%,23%,17%,16%,13%
0.5%,69.8,81.5,59.3,89.1,226.2,3.2,13%,85%,2%,29%,24%,18%,16%,13%
1.4%,67.1,92.8,65.8,106.8,223.9,3.3,17%,80%,3%,32%,23%,16%,15%,14%
3.3%,131.8,156.6,88.8,197.1,355.1,2.7,2%,95%,3%,32%,22%,17%,16%,13%
12.6%,66.0,116.7,58.8,134.7,217.2,3.3,4%,90%,5%,27%,23%,16%,17%,18%
13.8%,66.1,119.6,57.7,140.2,217.3,3.3,0%,96%,4%,25%,22%,17%,16%,20%
6.2%,111.8,156.9,74.8,175.3,311.4,2.8,0%,97%,2%,29%,21%,18%,17%,15%
1.5%,86.5,104.8,77.8,138.5,267.5,3.1,7%,90%,3%,31%,22%,16%,16%,15%
1.7%,70.0,88.7,61.1,107.2,226.6,3.2,14%,84%,2%,28%,23%,18%,17%,15%
1.4%,58.1,85.6,65.6,101.7,207.2,3.6,22%,75%,3%,31%,22%,16%,16%,16%
1.9%,66.4,94.4,68.9,113.7,223.4,3.4,20%,77%,3%,31%,22%,16%,16%,15%
0.1%,28.1,36.2,51.7,77.0,167.8,6.0,21%,76%,3%,30%,22%,15%,17%,16%
11.2%,244.1,289.6,130.3,293.6,547.3,2.2,4%,87%,9%,31%,20%,15%,16%,19%
4.5%,165.6,190.5,103.6,217.6,419.5,2.5,4%,91%,5%,30%,22%,17%,16%,15%
5.2%,172.9,201.4,98.1,223.6,423.8,2.5,3%,93%,4%,28%,24%,17%,16%,14%
1.9%,115.7,135.1,84.4,168.4,324.7,2.8,1%,97%,2%,34%,23%,15%,16%,12%
5.5%,220.3,252.5,121.4,270.7,510.0,2.3,1%,95%,4%,34%,22%,16%,15%,13%
3.3%,91.5,105.2,69.8,139.4,272.2,3.0,12%,84%,4%,24%,20%,16%,17%,22%
0.0%,16.8,22.2,53.1,31.4,148.7,8.8,23%,74%,3%,29%,21%,16%,16%,18%
0.1%,27.8,38.7,49.3,67.6,167.3,6.0,27%,70%,3%,28%,22%,17%,17%,15%
2.7%,116.7,140.4,92.0,183.2,329.8,2.8,3%,94%,3%,30%,23%,17%,16%,14%
1.1%,77.4,94.1,62.7,115.2,242.1,3.1,6%,93%,2%,30%,23%,18%,16%,13%
3.4%,95.5,131.8,75.5,145.8,285.1,3.0,5%,92%,3%,30%,23%,17%,16%,14%
0.2%,60.0,68.1,54.3,73.1,205.0,3.4,19%,75%,5%,30%,22%,16%,16%,15%
0.4%,102.9,121.5,88.4,133.9,300.8,2.9,2%,96%,2%,42%,27%,12%,10%,10%
0.0%,13.4,15.4,37.0,23.6,125.6,9.4,26%,71%,3%,28%,21%,16%,16%,20%
0.5%,91.9,105.1,78.8,122.6,280.3,3.1,8%,90%,2%,34%,22%,14%,14%,15%
0.3%,27.0,33.6,49.3,70.9,164.3,6.1,36%,59%,5%,27%,23%,16%,16%,19%
0.0%,11.3,14.6,44.7,23.3,120.9,10.7,23%,73%,4%,30%,22%,15%,15%,18%
0.1%,20.4,26.2,46.6,56.6,143.1,7.0,38%,58%,4%,26%,22%,15%,17%,20%
1.5%,70.1,85.8,61.3,101.9,226.2,3.2,16%,81%,3%,22%,25%,17%,18%,18%
0.0%,16.6,23.8,46.0,51.5,140.2,8.5,24%,71%,5%,31%,22%,15%,15%,18%
2.6%,37.7,48.7,55.6,94.1,165.7,4.4,27%,68%,5%,30%,22%,16%,16%,16%
0.1%,21.8,31.2,44.6,54.2,147.6,6.8,32%,64%,4%,23%,21%,15%,17%,23%
1.0%,87.4,105.9,78.9,115.2,269.4,3.1,10%,86%,4%,30%,22%,15%,15%,18%
1.2%,93.2,115.6,82.7,130.0,280.9,3.0,13%,85%,3%,30%,21%,15%,16%,18%
0.0%,24.3,33.7,47.8,58.0,155.1,6.4,33%,62%,5%,27%,21%,16%,15%,21%
0.9%,29.2,46.8,49.8,78.4,171.7,5.9,39%,56%,5%,27%,21%,15%,16%,21%
1.0%,31.2,34.5,47.1,75.6,152.2,4.9,43%,51%,6%,27%,21%,15%,16%,20%
1.9%,40.5,50.5,53.2,93.4,173.1,4.3,21%,74%,5%,31%,23%,16%,15%,15%
1.2%,30.3,39.5,50.7,80.4,157.4,5.2,35%,59%,5%,27%,21%,15%,16%,21%
0.1%,24.9,30.8,48.3,67.2,157.4,6.3,28%,67%,5%,31%,22%,14%,15%,17%
1.4%,51.2,62.2,64.7,108.3,193.3,3.8,36%,60%,4%,28%,22%,16%,16%,19%
0.3%,22.2,33.8,46.6,67.4,148.4,6.7,34%,61%,5%,28%,22%,15%,16%,19%
0.0%,9.9,14.7,37.5,27.1,122.1,12.3,21%,74%,5%,30%,22%,14%,15%,19%
1.8%,85.8,97.2,77.8,153.3,266.4,3.1,10%,87%,3%,32%,22%,15%,15%,15%
0.4%,77.3,91.4,75.7,108.8,247.9,3.2,10%,87%,3%,34%,24%,13%,13%,15%
1.7%,69.9,80.9,59.5,92.1,226.2,3.2,21%,73%,6%,24%,22%,15%,17%,22%
5.1%,47.3,90.4,64.9,108.0,190.0,4.0,20%,76%,4%,32%,21%,15%,15%,17%
0.3%,27.7,35.7,48.2,76.3,166.5,6.0,41%,55%,4%,27%,21%,15%,17%,20%
0.0%,5.2,7.3,43.4,16.4,95.0,18.1,23%,73%,4%,26%,21%,15%,17%,20%
0.0%,17.5,24.6,48.0,54.1,144.3,8.3,26%,69%,5%,31%,23%,15%,15%,17%
0.0%,24.0,32.0,48.6,62.2,154.3,6.4,26%,69%,5%,31%,23%,15%,15%,17%
1.7%,92.6,113.5,69.5,133.6,274.1,3.0,2%,95%,2%,27%,21%,15%,18%,19%
9.8%,190.5,225.1,99.5,234.4,453.1,2.4,2%,90%,8%,29%,19%,14%,17%,22%
2.8%,118.3,136.7,77.0,167.1,326.4,2.8,1%,96%,3%,28%,22%,16%,16%,18%
4.4%,126.4,143.8,79.8,168.6,341.1,2.7,5%,87%,8%,26%,24%,16%,17%,17%
0.4%,57.2,67.9,63.2,92.6,203.7,3.6,19%,77%,4%,31%,23%,14%,16%,16%
5.8%,169.3,197.4,94.8,211.8,417.7,2.5,2%,94%,4%,32%,21%,15%,15%,18%
4.4%,43.3,49.9,55.4,108.4,176.6,4.1,29%,66%,5%,22%,18%,14%,18%,27%
2.8%,81.6,101.6,66.4,118.7,250.7,3.1,17%,81%,3%,24%,20%,14%,16%,26%
0.2%,45.7,56.0,52.0,75.7,181.1,4.0,31%,65%,4%,30%,23%,15%,15%,16%
3.7%,67.9,77.9,63.7,122.0,222.2,3.3,24%,68%,8%,23%,22%,16%,17%,22%
5.3%,38.3,52.7,50.9,89.4,166.2,4.3,39%,55%,7%,26%,21%,15%,17%,20%
0.4%,41.2,56.9,54.3,76.6,174.4,4.2,25%,69%,6%,33%,22%,15%,15%,16%
0.5%,24.2,35.3,46.2,68.6,154.9,6.4,35%,62%,3%,26%,21%,15%,17%,21%
0.5%,108.5,130.5,93.2,148.3,312.8,2.9,2%,97%,1%,40%,26%,12%,11%,11%
8.9%,88.8,159.0,85.1,177.0,277.5,3.1,1%,97%,2%,37%,24%,12%,13%,14%
0.6%,115.6,129.4,86.7,146.0,323.5,2.8,2%,96%,2%,38%,25%,12%,12%,13%
0.4%,92.4,112.3,81.2,125.6,278.9,3.0,2%,97%,2%,41%,26%,12%,11%,11%
0.6%,116.2,133.7,94.1,149.8,328.0,2.8,1%,97%,2%,39%,27%,12%,11%,11%
0.2%,35.7,42.4,51.1,77.4,159.9,4.5,20%,76%,3%,31%,23%,14%,15%,16%
0.6%,105.5,127.8,92.3,148.4,306.0,2.9,1%,97%,2%,42%,26%,11%,10%,11%
0.7%,119.1,138.0,98.4,157.6,333.7,2.8,1%,96%,2%,39%,25%,13%,12%,11%
0.4%,88.3,98.3,74.0,115.1,267.3,3.0,4%,94%,2%,36%,25%,13%,13%,13%
0.0%,15.5,18.6,46.6,28.7,140.4,9.0,24%,71%,5%,32%,22%,15%,15%,16%
0.0%,12.5,18.8,48.1,27.8,126.4,10.1,19%,77%,4%,30%,22%,15%,15%,17%
0.2%,80.4,88.1,75.4,112.9,250.8,3.1,9%,89%,2%,36%,25%,13%,12%,14%
0.3%,104.8,117.1,91.5,135.5,305.0,2.9,1%,98%,1%,39%,26%,12%,11%,12%
0.9%,120.9,132.6,88.7,155.6,334.2,2.8,0%,97%,3%,38%,25%,13%,12%,13%
1.2%,119.7,139.3,79.9,158.1,328.9,2.7,1%,97%,2%,37%,23%,15%,13%,11%
0.5%,112.6,129.4,90.9,145.4,319.6,2.8,1%,97%,2%,39%,26%,12%,11%,12%
0.4%,92.8,112.7,87.5,131.4,281.5,3.0,3%,95%,2%,40%,25%,12%,11%,13%
1.4%,141.3,159.0,107.4,199.1,374.0,2.6,1%,97%,2%,37%,25%,13%,12%,13%
0.3%,106.1,120.1,88.0,131.9,306.7,2.9,1%,97%,2%,38%,26%,13%,12%,12%
0.5%,105.0,123.6,85.5,137.2,303.6,2.9,1%,97%,2%,41%,25%,12%,11%,12%
3.4%,163.8,194.2,104.4,220.3,413.7,2.5,2%,95%,3%,39%,26%,13%,12%,11%
6.3%,87.1,145.6,86.2,159.0,270.8,3.1,1%,96%,3%,36%,25%,12%,13%,14%
6.3%,90.7,145.8,82.6,164.9,276.5,3.1,1%,96%,2%,35%,24%,13%,14%,14%
