Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
4.91%,139.0,167.9,88.4,199.3,363.6,2.6,2%,95%,3%,27%,23%,15%,18%,16%
2.85%,100.1,122.0,71.4,139.5,289.2,2.9,4%,93%,3%,29%,21%,15%,18%,16%
5.60%,123.5,158.3,79.6,167.8,334.4,2.7,1%,94%,6%,29%,21%,15%,18%,17%
0.85%,84.7,98.5,64.3,107.3,258.0,3.0,6%,92%,2%,29%,21%,15%,18%,16%
0.64%,80.7,93.7,54.9,96.8,252.5,3.1,4%,94%,2%,32%,21%,14%,16%,17%
1.53%,74.9,97.9,54.4,98.8,239.5,3.2,6%,90%,3%,32%,23%,15%,15%,15%
7.12%,133.4,181.3,83.6,186.8,359.2,2.7,1%,94%,4%,33%,22%,13%,16%,17%
0.00%,26.6,33.7,36.8,43.3,165.3,6.2,16%,80%,4%,32%,22%,15%,15%,16%
10.57%,153.0,193.9,86.2,211.0,389.4,2.5,2%,94%,4%,27%,19%,13%,17%,24%
11.94%,257.9,303.5,128.0,301.3,560.0,2.2,6%,87%,7%,31%,21%,13%,14%,22%
7.44%,234.4,273.0,125.1,280.8,530.7,2.3,3%,93%,4%,31%,20%,15%,16%,17%
1.48%,127.4,148.7,87.1,152.3,351.2,2.8,1%,96%,3%,30%,23%,15%,16%,17%
11.87%,166.7,210.0,91.1,230.0,412.9,2.5,8%,84%,8%,32%,20%,13%,15%,19%
13.16%,196.6,259.8,110.8,264.7,471.4,2.4,6%,87%,8%,28%,22%,14%,17%,19%
12.30%,184.9,219.2,97.8,240.4,443.8,2.4,8%,79%,13%,30%,20%,14%,17%,19%
0.73%,73.4,85.6,58.0,97.8,235.0,3.2,5%,93%,3%,32%,24%,15%,16%,13%
1.26%,48.9,67.4,46.3,73.1,189.3,3.9,27%,69%,4%,33%,23%,16%,14%,13%
4.76%,84.6,109.4,63.8,139.7,259.2,3.1,3%,94%,4%,25%,21%,15%,18%,21%
8.53%,185.7,220.2,101.9,241.5,444.9,2.4,2%,89%,9%,29%,24%,16%,15%,15%
5.75%,166.8,192.6,93.8,208.3,413.6,2.5,3%,92%,5%,27%,23%,17%,17%,17%
0.37%,58.8,64.6,56.9,77.2,205.3,3.5,12%,83%,5%,26%,26%,17%,17%,15%
5.80%,96.4,123.3,67.1,157.4,282.8,2.9,1%,93%,6%,28%,23%,16%,16%,16%
6.81%,143.8,175.2,85.7,192.5,372.9,2.6,2%,90%,8%,28%,25%,17%,16%,14%
6.53%,115.7,140.7,74.6,173.0,320.8,2.8,4%,87%,9%,28%,24%,16%,17%,15%
0.00%,8.2,9.6,28.3,15.4,113.7,13.9,14%,81%,5%,29%,24%,16%,15%,15%
0.78%,65.3,76.7,53.1,84.3,217.6,3.3,10%,86%,3%,33%,22%,14%,16%,15%
0.58%,55.3,64.2,48.2,75.7,200.8,3.6,18%,80%,3%,36%,21%,15%,14%,14%
4.85%,76.7,101.6,59.3,133.7,243.0,3.2,4%,93%,3%,26%,19%,14%,17%,24%
6.36%,178.6,213.1,99.4,235.1,433.5,2.4,4%,93%,2%,31%,21%,15%,15%,17%
4.64%,159.0,183.7,90.7,208.5,400.6,2.5,1%,96%,3%,29%,21%,16%,17%,17%
0.04%,50.8,55.7,54.4,72.7,192.6,3.8,17%,81%,3%,30%,24%,16%,16%,15%
5.17%,88.8,114.7,64.8,151.1,268.0,3.0,2%,93%,5%,31%,21%,15%,16%,17%
5.94%,135.7,166.4,83.8,177.7,359.0,2.6,7%,86%,7%,32%,22%,15%,16%,15%
5.01%,108.0,129.6,72.5,170.7,306.5,2.8,1%,93%,6%,30%,21%,15%,17%,17%
2.96%,112.9,144.2,72.9,153.9,317.8,2.8,0%,97%,2%,38%,23%,13%,14%,12%
0.47%,28.4,34.1,46.0,75.0,169.4,6.0,36%,59%,5%,27%,21%,14%,18%,20%
3.14%,131.3,154.7,83.6,175.9,347.9,2.6,0%,97%,2%,33%,23%,13%,15%,16%
1.81%,101.9,118.0,78.1,152.2,296.8,2.9,2%,96%,2%,31%,22%,14%,17%,15%
0.07%,23.8,45.6,42.4,57.5,154.4,6.5,31%,66%,3%,32%,22%,14%,15%,16%
3.21%,43.3,55.8,54.5,108.5,175.6,4.1,21%,76%,3%,32%,22%,14%,17%,15%
0.64%,70.6,79.3,63.3,99.3,231.3,3.3,11%,87%,2%,34%,22%,13%,16%,14%
3.12%,56.1,69.5,56.3,112.0,198.3,3.5,25%,69%,6%,30%,21%,14%,18%,16%
7.73%,130.0,165.2,78.8,186.9,348.1,2.7,0%,97%,3%,30%,19%,13%,17%,22%
11.04%,233.7,281.5,119.1,297.2,522.6,2.2,6%,89%,6%,33%,21%,14%,14%,18%
6.39%,212.1,252.6,113.0,265.8,493.4,2.3,3%,95%,1%,32%,22%,15%,15%,15%
0.81%,104.0,117.7,76.4,126.9,304.9,2.9,1%,96%,3%,31%,24%,16%,15%,14%
6.75%,143.1,180.2,84.9,213.1,371.5,2.6,1%,96%,3%,36%,21%,14%,14%,15%
7.39%,179.5,228.5,104.0,239.1,442.1,2.5,3%,93%,4%,33%,22%,15%,14%,15%
8.26%,161.8,198.9,90.6,221.2,404.7,2.5,4%,89%,7%,34%,22%,14%,14%,15%
3.68%,106.1,123.9,76.6,161.0,301.0,2.8,3%,93%,4%,24%,18%,14%,17%,27%
2.75%,82.3,98.0,75.6,141.0,259.1,3.1,16%,79%,5%,27%,21%,16%,17%,20%
0.85%,26.0,40.6,52.2,91.8,162.4,6.2,31%,66%,3%,28%,21%,16%,16%,19%
0.68%,15.2,21.4,43.8,67.0,134.6,8.8,43%,52%,5%,27%,20%,15%,17%,20%
8.28%,72.9,98.8,60.8,132.7,232.8,3.2,20%,76%,4%,23%,18%,14%,18%,26%
