Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
4.7%,108.9,137.8,85.2,140.4,244.8,2.2,6%,89%,5%,32%,25%,16%,14%,12%
4.7%,182.6,236.2,107.2,255.9,339.8,1.9,11%,85%,3%,39%,23%,17%,11%,10%
4.7%,198.5,238.0,112.2,239.5,360.2,1.8,5%,88%,8%,30%,24%,17%,14%,15%
4.6%,110.6,135.3,77.3,122.1,242.0,2.2,7%,87%,7%,34%,24%,17%,13%,13%
4.6%,149.6,177.6,101.3,181.9,302.5,2.0,6%,90%,4%,26%,22%,18%,17%,17%
4.6%,194.6,237.4,110.7,232.8,355.8,1.8,6%,87%,8%,32%,26%,17%,13%,12%
4.6%,187.4,231.1,125.6,254.7,351.9,1.9,4%,90%,6%,37%,24%,15%,12%,12%
4.6%,129.2,155.5,84.5,148.8,269.0,2.1,3%,94%,3%,27%,23%,18%,14%,18%
4.6%,112.7,152.0,78.9,138.3,244.3,2.2,5%,90%,6%,45%,25%,15%,10%,6%
4.6%,96.4,116.9,73.3,115.1,219.5,2.3,7%,87%,6%,35%,24%,16%,11%,13%
4.6%,209.0,280.0,113.4,280.0,373.6,1.8,3%,91%,6%,43%,22%,13%,11%,11%
4.6%,54.4,65.5,60.9,94.5,152.8,2.8,10%,85%,5%,31%,23%,16%,16%,15%
4.6%,150.0,178.3,92.9,175.3,297.7,2.0,6%,86%,7%,40%,25%,16%,10%,9%
4.6%,100.0,120.7,84.7,148.7,231.9,2.3,6%,90%,5%,36%,27%,16%,12%,9%
4.5%,203.1,268.7,112.4,285.7,365.3,1.8,4%,92%,4%,36%,23%,15%,11%,14%
4.5%,130.6,157.9,94.6,161.3,276.2,2.1,3%,92%,4%,28%,24%,18%,15%,15%
4.5%,120.9,150.8,92.7,171.2,262.8,2.2,4%,91%,5%,40%,25%,16%,11%,7%
4.5%,111.1,151.0,86.9,136.4,250.1,2.3,5%,91%,4%,33%,23%,16%,12%,16%
4.5%,101.5,129.8,68.9,128.4,226.1,2.2,5%,89%,5%,52%,20%,13%,9%,6%
4.5%,134.8,171.2,98.2,187.3,282.1,2.1,5%,92%,3%,44%,23%,14%,12%,8%
4.4%,199.3,266.8,112.0,270.6,361.2,1.8,8%,88%,4%,39%,24%,15%,11%,10%
4.4%,139.1,185.1,106.3,184.1,292.1,2.1,6%,89%,5%,37%,27%,16%,11%,8%
4.4%,78.0,95.5,65.7,103.9,196.7,2.5,6%,90%,4%,31%,26%,15%,14%,14%
4.4%,207.1,282.7,126.6,288.8,376.0,1.8,5%,91%,4%,38%,23%,15%,11%,13%
4.4%,206.4,287.5,114.1,275.4,370.5,1.8,6%,89%,5%,35%,24%,15%,15%,11%
4.4%,204.8,277.0,112.8,277.3,368.5,1.8,2%,91%,7%,42%,24%,15%,10%,9%
4.4%,135.9,162.2,101.7,168.4,284.2,2.1,5%,90%,4%,31%,23%,16%,15%,16%
4.4%,93.8,122.0,81.3,131.8,222.7,2.4,4%,91%,5%,37%,26%,16%,12%,9%
4.3%,194.3,264.0,109.0,253.9,354.7,1.8,3%,92%,5%,37%,25%,15%,12%,11%
4.3%,239.9,333.9,119.9,372.4,411.0,1.7,9%,89%,2%,33%,28%,13%,14%,13%
4.3%,211.1,289.2,127.3,317.2,383.6,1.8,3%,93%,4%,34%,25%,17%,14%,10%
4.3%,136.8,157.9,106.5,194.3,286.6,2.1,8%,88%,4%,37%,26%,15%,13%,9%
4.3%,47.7,70.0,51.4,76.5,145.0,3.0,5%,91%,4%,34%,25%,18%,13%,10%
4.3%,113.1,132.8,77.9,147.0,244.1,2.2,9%,89%,3%,29%,29%,18%,15%,9%
4.3%,83.2,109.6,75.2,119.6,202.4,2.4,5%,90%,4%,38%,27%,15%,12%,8%
4.2%,110.7,156.7,91.6,146.5,250.6,2.3,5%,91%,4%,34%,26%,17%,14%,9%
4.2%,137.2,175.0,101.5,177.9,286.8,2.1,4%,91%,6%,38%,27%,15%,12%,9%
4.2%,137.5,168.2,99.2,191.0,287.7,2.1,6%,89%,5%,43%,27%,15%,10%,6%
4.2%,184.5,234.8,120.1,244.5,353.1,1.9,5%,89%,6%,37%,26%,16%,12%,9%
4.2%,99.1,123.2,73.6,125.4,225.1,2.3,2%,95%,4%,31%,28%,18%,13%,10%
4.2%,178.5,227.7,117.2,244.9,344.1,1.9,4%,91%,5%,39%,25%,16%,11%,9%
4.2%,96.4,108.2,80.5,138.7,222.7,2.3,5%,89%,5%,36%,23%,15%,12%,14%
4.2%,104.1,120.6,74.9,132.3,232.6,2.2,3%,90%,7%,48%,21%,12%,9%,9%
4.2%,79.3,90.9,66.9,111.6,191.9,2.4,7%,87%,6%,44%,23%,14%,10%,8%
4.2%,95.6,122.3,81.1,129.3,223.4,2.3,6%,89%,5%,37%,25%,15%,12%,11%
4.2%,79.3,93.6,78.5,125.7,196.2,2.5,5%,90%,5%,31%,26%,16%,14%,13%
4.2%,134.8,171.8,85.0,154.3,274.0,2.0,7%,88%,5%,35%,26%,18%,13%,8%
4.2%,80.4,94.7,77.6,115.1,198.3,2.5,7%,88%,6%,32%,21%,16%,14%,16%
4.2%,79.7,87.7,75.3,118.2,195.5,2.5,7%,87%,6%,34%,21%,15%,13%,17%
4.2%,197.6,262.9,110.1,263.5,359.3,1.8,9%,87%,4%,41%,26%,14%,11%,8%
4.1%,123.8,163.3,103.4,159.7,270.8,2.2,7%,88%,5%,36%,25%,16%,12%,10%
4.1%,96.4,118.3,68.3,122.6,218.4,2.3,5%,90%,5%,52%,21%,12%,8%,7%
4.1%,183.7,234.8,116.0,244.6,348.7,1.9,5%,90%,5%,39%,24%,15%,11%,11%
4.1%,66.0,80.4,75.3,115.3,177.5,2.7,6%,89%,5%,35%,24%,15%,13%,13%
4.1%,41.2,59.3,49.2,72.3,133.7,3.2,6%,89%,5%,35%,24%,17%,13%,11%
4.1%,103.3,129.5,79.9,132.6,233.7,2.3,4%,92%,4%,28%,30%,18%,14%,10%
4.1%,82.8,92.4,85.1,124.1,201.1,2.4,6%,88%,6%,32%,21%,15%,14%,18%
4.1%,182.9,214.7,105.1,228.3,339.6,1.9,3%,92%,5%,33%,24%,16%,14%,14%
4.1%,171.3,205.6,101.6,209.8,325.3,1.9,4%,92%,5%,33%,27%,17%,13%,10%
4.1%,137.7,181.0,102.3,177.4,289.4,2.1,6%,89%,5%,38%,27%,16%,11%,8%
4.1%,186.8,232.3,109.5,244.2,346.0,1.9,3%,92%,5%,34%,28%,16%,13%,9%
4.1%,186.0,222.8,107.3,230.5,346.9,1.9,4%,89%,7%,40%,25%,15%,11%,9%
4.1%,157.3,204.2,106.4,199.3,315.9,2.0,3%,92%,4%,34%,26%,17%,14%,10%
4.1%,155.4,202.6,114.2,194.9,312.9,2.0,4%,91%,5%,35%,25%,16%,13%,10%
4.1%,130.4,168.8,96.8,172.9,277.2,2.1,4%,91%,6%,43%,26%,15%,10%,6%
4.1%,72.0,92.5,69.9,110.4,185.6,2.6,4%,92%,4%,35%,24%,14%,13%,14%
4.1%,160.6,190.6,97.9,170.6,313.1,1.9,5%,88%,7%,34%,23%,15%,12%,15%
4.0%,132.4,171.6,95.7,169.2,280.0,2.1,5%,90%,5%,37%,28%,16%,11%,8%
4.0%,165.6,194.1,96.0,190.6,317.2,1.9,5%,90%,5%,34%,23%,16%,13%,14%
4.0%,193.7,259.9,121.8,264.4,361.3,1.9,5%,90%,5%,39%,26%,16%,11%,8%
4.0%,152.5,189.1,107.6,205.9,310.5,2.0,3%,91%,6%,40%,27%,16%,10%,7%
4.0%,178.8,226.0,105.7,246.6,335.6,1.9,8%,88%,4%,42%,24%,17%,10%,7%
4.0%,105.7,129.6,87.0,145.8,240.5,2.3,5%,91%,4%,34%,29%,17%,12%,8%
4.0%,101.7,122.0,85.2,145.0,232.1,2.3,3%,92%,5%,41%,23%,14%,12%,10%
4.0%,201.9,270.4,112.3,268.0,365.1,1.8,3%,92%,5%,42%,24%,14%,11%,9%
3.9%,137.0,161.0,97.3,162.6,284.3,2.1,5%,90%,5%,32%,23%,16%,14%,15%
3.9%,106.4,130.6,75.5,130.5,234.6,2.2,7%,88%,6%,44%,24%,15%,10%,7%
3.9%,191.6,244.8,122.1,262.2,359.6,1.9,3%,93%,4%,31%,25%,17%,16%,11%
3.9%,196.8,262.7,124.7,255.4,366.8,1.9,6%,89%,5%,37%,25%,16%,13%,9%
3.9%,147.4,176.3,89.5,182.1,293.5,2.0,8%,87%,4%,38%,26%,17%,11%,8%
3.9%,112.4,132.2,77.1,132.7,251.0,2.2,4%,90%,6%,32%,26%,15%,13%,14%
3.8%,161.9,190.4,107.3,211.2,319.0,2.0,5%,91%,5%,37%,24%,17%,14%,9%
3.8%,104.2,127.0,79.9,130.1,235.1,2.3,6%,89%,5%,35%,22%,15%,12%,15%
3.8%,173.9,220.8,122.0,240.1,339.2,2.0,4%,91%,5%,39%,26%,16%,12%,8%
3.8%,134.2,174.2,100.1,175.4,285.8,2.1,5%,90%,6%,43%,26%,15%,10%,7%
3.8%,133.3,160.8,86.9,138.1,273.0,2.0,3%,92%,5%,24%,23%,17%,17%,19%
3.8%,150.9,177.3,92.1,171.0,298.7,2.0,6%,87%,7%,43%,25%,15%,9%,7%
3.8%,201.9,266.1,111.6,274.4,364.1,1.8,8%,88%,4%,37%,26%,16%,12%,9%
3.8%,149.9,188.6,105.1,216.9,304.3,2.0,3%,95%,2%,36%,26%,17%,13%,8%
3.8%,59.5,81.4,65.5,96.2,165.4,2.8,8%,87%,5%,36%,23%,13%,13%,16%
3.8%,104.0,120.2,75.1,138.4,230.5,2.2,7%,89%,4%,36%,29%,17%,12%,7%
3.7%,174.3,221.0,114.2,216.1,339.6,1.9,5%,90%,5%,39%,25%,15%,11%,10%
3.7%,139.7,157.8,86.9,162.3,281.7,2.0,3%,91%,6%,36%,25%,17%,13%,10%
3.7%,103.3,138.0,86.7,138.5,239.8,2.3,6%,89%,4%,36%,26%,16%,12%,10%
3.7%,110.5,149.6,93.3,149.0,252.0,2.3,5%,91%,4%,37%,27%,17%,11%,8%
3.7%,174.6,219.3,120.7,240.2,338.1,1.9,4%,92%,4%,36%,26%,16%,13%,8%
3.7%,104.5,119.6,80.9,154.5,234.1,2.2,7%,88%,4%,38%,27%,16%,11%,8%
3.7%,166.9,193.6,96.9,182.6,319.5,1.9,2%,91%,6%,34%,26%,15%,12%,13%
3.7%,214.3,282.5,118.0,306.5,379.6,1.8,5%,89%,6%,38%,25%,17%,11%,9%
3.7%,201.1,266.2,115.1,257.7,370.1,1.8,5%,90%,5%,45%,22%,12%,10%,10%
3.7%,83.2,105.1,74.8,121.7,205.2,2.5,5%,90%,5%,50%,24%,13%,8%,5%
3.7%,124.4,141.3,83.8,136.7,259.9,2.1,5%,90%,5%,33%,23%,17%,15%,13%
3.7%,45.5,55.5,49.1,73.2,142.5,3.1,9%,87%,4%,31%,24%,13%,15%,17%
3.7%,113.8,140.9,76.5,127.9,244.4,2.1,4%,92%,4%,35%,23%,17%,13%,12%
3.6%,107.6,142.5,93.0,143.7,246.0,2.3,6%,90%,4%,36%,26%,17%,13%,9%
3.6%,143.3,175.9,105.6,192.8,296.1,2.1,4%,89%,6%,43%,27%,15%,10%,5%
3.6%,160.4,200.9,96.2,175.0,309.7,1.9,5%,91%,4%,30%,27%,15%,14%,13%
3.6%,147.8,182.2,97.5,185.1,299.8,2.0,7%,89%,5%,46%,22%,14%,11%,7%
3.6%,202.1,232.8,109.7,235.6,365.3,1.8,6%,86%,9%,41%,27%,14%,9%,9%
3.6%,183.2,217.4,103.7,210.1,340.4,1.9,3%,90%,6%,39%,25%,15%,11%,10%
3.6%,186.8,234.1,107.6,238.6,344.2,1.8,1%,96%,4%,34%,27%,15%,12%,12%
3.6%,118.2,154.4,97.0,154.7,260.4,2.2,5%,90%,5%,42%,25%,15%,10%,8%
3.5%,166.4,192.0,115.0,213.3,324.3,1.9,5%,90%,5%,37%,23%,16%,13%,11%
3.5%,120.9,150.7,93.0,162.0,264.3,2.2,4%,91%,5%,45%,26%,14%,9%,6%
3.5%,57.0,80.5,69.5,97.7,161.2,2.8,7%,88%,4%,33%,22%,13%,13%,18%
3.5%,198.7,270.5,123.2,260.5,368.7,1.9,4%,90%,5%,42%,25%,15%,10%,7%
3.5%,212.3,276.9,119.2,272.1,384.4,1.8,5%,89%,6%,39%,24%,15%,12%,9%
3.5%,46.6,58.9,53.5,85.4,144.4,3.1,11%,86%,3%,33%,22%,15%,15%,15%
3.5%,87.7,103.0,83.6,128.5,211.7,2.4,5%,90%,5%,35%,24%,17%,13%,12%
3.5%,66.4,74.6,63.8,96.4,170.5,2.6,2%,91%,6%,33%,25%,15%,14%,13%
3.5%,208.7,282.9,115.1,278.0,372.8,1.8,2%,93%,5%,38%,23%,16%,11%,12%
3.5%,117.1,142.4,92.3,143.6,256.4,2.2,4%,91%,5%,33%,24%,17%,13%,13%
3.5%,103.0,112.0,73.0,114.8,228.9,2.2,5%,89%,5%,30%,23%,15%,14%,19%
3.5%,147.6,177.7,99.4,182.6,299.0,2.0,5%,91%,4%,37%,27%,16%,11%,9%
3.5%,187.1,225.7,106.7,218.9,346.2,1.9,4%,91%,4%,34%,26%,16%,12%,12%
3.4%,64.3,81.6,60.1,96.8,166.1,2.6,7%,88%,5%,49%,27%,14%,7%,3%
3.4%,200.1,254.5,112.6,236.5,362.7,1.8,5%,92%,3%,27%,26%,17%,17%,13%
3.4%,102.7,125.8,77.4,129.6,232.8,2.3,6%,90%,4%,32%,28%,19%,14%,8%
3.4%,97.6,120.1,80.0,126.7,226.8,2.3,4%,90%,5%,46%,22%,13%,10%,8%
3.4%,162.9,180.2,96.1,197.5,313.5,1.9,8%,87%,5%,43%,23%,15%,12%,8%
3.4%,110.0,128.7,84.3,152.7,244.7,2.2,4%,92%,5%,48%,24%,13%,9%,5%
3.4%,84.1,94.2,78.2,121.3,204.4,2.4,6%,89%,5%,34%,24%,16%,13%,13%
3.4%,200.6,249.8,112.6,245.4,365.4,1.8,4%,91%,5%,31%,25%,17%,15%,12%
3.4%,180.9,212.4,101.1,213.7,337.2,1.9,4%,91%,6%,35%,25%,17%,13%,10%
3.3%,54.8,68.1,55.6,86.2,154.5,2.8,8%,88%,4%,34%,21%,14%,14%,17%
3.3%,181.2,213.6,102.5,196.2,338.4,1.9,4%,89%,7%,35%,29%,16%,11%,9%
3.3%,126.5,155.5,96.1,157.6,272.0,2.1,5%,89%,5%,39%,25%,16%,12%,8%
3.3%,198.2,234.7,110.2,243.3,359.3,1.8,3%,91%,6%,34%,26%,16%,13%,10%
3.3%,153.3,180.5,110.0,198.4,310.5,2.0,7%,89%,5%,37%,26%,17%,13%,7%
3.3%,97.5,115.4,74.9,128.8,223.0,2.3,4%,91%,5%,47%,24%,13%,9%,8%
3.3%,215.0,281.8,124.4,294.6,386.2,1.8,4%,91%,5%,41%,25%,15%,11%,9%
3.3%,208.8,271.7,126.4,281.8,380.7,1.8,5%,90%,5%,40%,26%,15%,11%,8%
3.3%,193.4,229.1,111.0,235.5,354.4,1.8,7%,88%,5%,41%,25%,15%,10%,9%
3.3%,73.1,79.0,64.2,103.7,182.1,2.5,4%,90%,6%,39%,27%,15%,10%,9%
3.3%,200.7,240.0,127.0,242.0,368.5,1.8,6%,88%,6%,32%,25%,16%,13%,14%
3.3%,197.1,234.1,118.5,229.0,363.8,1.8,5%,88%,6%,34%,25%,15%,13%,13%
3.2%,204.9,272.2,128.1,272.8,377.2,1.8,4%,91%,5%,40%,26%,16%,11%,7%
3.2%,164.4,194.0,111.2,200.2,325.4,2.0,4%,91%,5%,34%,26%,17%,13%,10%
3.2%,134.6,150.8,89.1,173.7,274.8,2.0,3%,91%,5%,40%,26%,16%,12%,5%
3.2%,199.8,237.1,110.4,231.5,362.5,1.8,5%,88%,7%,38%,28%,17%,10%,7%
3.2%,210.5,274.6,117.9,299.6,375.4,1.8,4%,91%,5%,41%,26%,17%,11%,6%
3.2%,127.0,154.9,92.3,163.5,271.7,2.1,4%,92%,4%,47%,22%,13%,10%,7%
3.2%,100.5,119.3,82.0,128.2,232.6,2.3,3%,94%,4%,30%,21%,14%,15%,19%
3.1%,196.5,234.0,109.3,232.7,360.0,1.8,3%,89%,8%,39%,23%,15%,11%,13%
3.1%,169.9,202.8,100.9,195.3,325.6,1.9,5%,89%,5%,39%,26%,17%,10%,8%
3.1%,149.8,172.5,90.9,170.9,297.6,2.0,5%,89%,6%,39%,29%,16%,9%,7%
3.1%,58.0,79.1,60.3,90.5,159.4,2.7,4%,92%,4%,31%,26%,18%,14%,11%
3.1%,170.0,203.0,112.3,206.0,331.6,2.0,6%,90%,4%,32%,25%,18%,16%,9%
3.1%,205.6,249.8,113.7,273.9,369.8,1.8,3%,93%,4%,32%,28%,17%,14%,9%
3.0%,218.3,288.5,135.9,299.2,391.5,1.8,4%,91%,5%,39%,24%,16%,11%,11%
3.0%,99.8,112.3,73.8,119.5,223.1,2.2,4%,91%,5%,35%,22%,16%,12%,14%
3.0%,107.8,122.3,92.3,159.5,240.4,2.2,5%,91%,4%,36%,27%,16%,11%,9%
3.0%,206.3,239.3,113.4,241.5,368.4,1.8,8%,87%,5%,34%,23%,17%,14%,13%
3.0%,115.1,145.8,93.6,149.2,256.6,2.2,6%,90%,4%,40%,27%,16%,11%,7%
3.0%,175.2,210.7,102.9,206.2,332.3,1.9,3%,92%,5%,31%,27%,16%,12%,14%
3.0%,104.3,133.9,93.6,148.1,240.9,2.3,5%,91%,4%,37%,26%,16%,12%,8%
3.0%,90.4,95.5,80.9,138.9,214.0,2.4,5%,91%,4%,36%,27%,16%,12%,9%
3.0%,172.1,204.1,123.2,222.7,335.6,1.9,3%,92%,4%,37%,26%,15%,13%,9%
2.9%,106.1,124.6,72.3,129.3,234.0,2.2,2%,94%,4%,32%,33%,18%,11%,6%
2.9%,207.7,253.0,113.2,254.4,372.0,1.8,10%,87%,4%,33%,23%,17%,16%,10%
2.9%,82.1,96.3,80.3,121.7,203.5,2.5,6%,89%,5%,41%,25%,14%,11%,9%
2.9%,167.8,197.5,114.5,194.1,328.4,2.0,5%,90%,5%,34%,24%,16%,13%,14%
2.9%,121.0,159.0,99.8,147.4,263.1,2.2,5%,91%,4%,40%,25%,16%,10%,9%
2.9%,219.3,278.2,117.1,299.5,386.3,1.8,3%,94%,4%,35%,25%,15%,13%,12%
2.9%,186.8,221.4,107.6,210.5,345.4,1.8,7%,86%,7%,42%,25%,16%,11%,6%
2.9%,186.3,226.5,107.8,221.2,347.5,1.9,3%,92%,5%,40%,26%,16%,11%,7%
2.9%,162.8,196.6,107.3,178.2,319.8,2.0,4%,91%,5%,29%,24%,16%,15%,16%
2.9%,168.4,197.4,99.8,199.2,320.9,1.9,4%,90%,6%,40%,27%,15%,11%,8%
2.9%,203.7,235.8,111.5,242.1,366.8,1.8,5%,88%,6%,35%,27%,16%,11%,11%
2.8%,119.7,142.4,87.2,143.1,260.3,2.2,5%,91%,4%,30%,29%,19%,14%,9%
2.8%,38.3,48.0,48.2,72.5,135.0,3.5,14%,83%,3%,30%,26%,15%,16%,14%
2.8%,175.8,203.3,101.3,201.4,331.6,1.9,4%,90%,6%,39%,30%,16%,9%,5%
2.8%,119.8,137.1,97.2,157.3,262.4,2.2,3%,92%,5%,40%,25%,14%,12%,9%
2.8%,193.9,228.0,108.2,223.7,354.8,1.8,7%,88%,6%,44%,25%,14%,9%,7%
2.8%,154.2,180.3,99.5,183.3,310.3,2.0,5%,89%,6%,49%,24%,12%,9%,5%
2.8%,87.1,106.4,81.3,119.4,213.0,2.4,5%,91%,4%,31%,23%,14%,15%,17%
2.8%,121.3,143.2,97.3,149.3,268.2,2.2,4%,91%,5%,32%,24%,15%,14%,16%
2.8%,94.0,115.7,81.7,117.8,223.8,2.4,4%,91%,5%,31%,23%,16%,14%,16%
2.8%,192.7,221.8,110.2,220.9,351.0,1.8,13%,83%,4%,41%,23%,14%,11%,11%
2.8%,191.8,229.9,108.7,250.8,352.7,1.8,4%,92%,5%,41%,29%,16%,9%,5%
2.8%,192.5,235.8,109.3,239.0,352.7,1.8,7%,91%,3%,38%,24%,16%,14%,8%
2.8%,88.5,93.9,88.9,146.4,213.9,2.4,5%,91%,4%,38%,27%,15%,12%,8%
2.8%,117.2,135.1,85.3,142.4,256.4,2.2,5%,91%,5%,49%,21%,12%,10%,9%
2.8%,178.9,207.3,104.1,212.7,335.3,1.9,5%,90%,5%,45%,25%,14%,10%,6%
2.7%,205.6,237.2,112.5,241.0,368.0,1.8,3%,90%,7%,35%,26%,15%,11%,14%
2.7%,71.7,88.3,77.0,104.5,185.4,2.6,7%,87%,6%,33%,23%,16%,14%,13%
2.7%,193.9,243.9,128.6,237.3,364.6,1.9,5%,90%,5%,38%,27%,16%,11%,8%
2.7%,128.7,149.0,81.6,161.5,270.8,2.1,6%,90%,4%,59%,20%,10%,7%,5%
2.7%,190.7,221.3,109.5,226.9,349.8,1.8,7%,86%,7%,41%,24%,16%,11%,9%
2.7%,204.4,238.1,110.8,236.3,367.8,1.8,7%,88%,6%,46%,22%,13%,9%,9%
2.7%,175.5,207.1,100.4,205.2,330.5,1.9,7%,89%,4%,39%,26%,16%,12%,6%
2.6%,63.1,70.6,61.3,93.3,165.1,2.6,9%,85%,6%,44%,23%,14%,9%,10%
2.6%,202.8,234.6,108.3,235.2,365.5,1.8,9%,86%,5%,39%,25%,15%,12%,10%
2.6%,191.8,223.6,106.2,224.8,352.4,1.8,5%,90%,5%,40%,28%,15%,9%,7%
2.6%,103.7,139.8,90.1,131.5,240.3,2.3,4%,91%,5%,41%,25%,15%,11%,8%
2.6%,202.3,240.5,112.4,232.7,365.3,1.8,4%,89%,7%,44%,24%,15%,9%,7%
2.6%,99.4,112.8,74.9,119.8,223.8,2.3,7%,88%,4%,40%,25%,16%,11%,8%
2.6%,204.1,242.3,126.0,253.4,374.3,1.8,5%,90%,6%,39%,24%,15%,11%,11%
2.6%,96.6,109.6,71.9,116.3,219.1,2.3,6%,89%,5%,43%,25%,15%,11%,7%
2.5%,163.0,192.9,110.0,191.6,321.3,2.0,4%,92%,5%,37%,27%,16%,12%,8%
2.5%,225.5,271.9,118.8,293.2,396.1,1.8,5%,89%,6%,45%,25%,14%,9%,7%
2.5%,202.0,246.6,124.8,246.3,372.0,1.8,5%,90%,5%,37%,25%,16%,12%,10%
2.5%,72.2,83.0,68.2,100.0,181.8,2.5,8%,87%,5%,33%,24%,17%,13%,13%
2.5%,217.7,261.6,114.5,287.4,384.6,1.8,3%,92%,5%,43%,28%,14%,9%,7%
2.5%,168.5,197.4,109.7,182.2,328.2,1.9,4%,90%,5%,35%,24%,16%,13%,13%
2.5%,192.8,227.1,108.0,220.6,352.9,1.8,4%,90%,6%,38%,27%,17%,12%,7%
2.5%,165.6,185.2,111.1,195.5,324.2,2.0,5%,90%,5%,36%,24%,16%,14%,11%
2.4%,106.8,129.4,82.5,129.6,240.4,2.3,5%,91%,4%,35%,29%,17%,12%,7%
2.4%,206.2,241.1,113.9,238.9,369.7,1.8,3%,90%,7%,41%,24%,16%,10%,10%
2.4%,182.6,217.8,118.7,210.2,347.4,1.9,5%,89%,5%,36%,26%,16%,12%,10%
2.4%,242.3,347.8,125.2,384.8,414.1,1.7,0%,99%,1%,47%,21%,14%,9%,9%
2.4%,218.5,263.8,122.3,281.5,391.1,1.8,7%,88%,5%,45%,24%,14%,10%,8%
2.3%,67.1,76.5,71.1,100.4,175.6,2.6,7%,87%,6%,33%,23%,16%,14%,15%
2.3%,208.3,258.4,128.2,256.8,381.0,1.8,5%,91%,4%,33%,25%,17%,14%,10%
2.3%,208.5,254.5,126.0,256.8,380.1,1.8,6%,90%,4%,35%,25%,17%,14%,9%
2.3%,191.9,223.7,112.8,225.8,356.2,1.9,6%,90%,4%,37%,25%,16%,12%,9%
2.3%,194.4,236.5,109.0,228.8,357.4,1.8,2%,93%,5%,34%,26%,19%,11%,10%
2.3%,92.5,103.0,75.9,121.2,216.8,2.3,8%,88%,4%,36%,29%,17%,11%,7%
2.3%,192.8,229.7,108.4,230.8,353.3,1.8,7%,90%,4%,40%,26%,17%,11%,6%
2.3%,109.1,146.8,92.3,133.2,248.0,2.3,5%,90%,5%,40%,27%,16%,11%,7%
2.3%,151.3,169.0,107.7,180.2,306.5,2.0,7%,88%,5%,37%,26%,16%,13%,8%
2.3%,154.3,177.3,104.1,170.9,308.2,2.0,3%,92%,5%,35%,25%,16%,13%,11%
2.3%,89.1,116.9,85.2,116.0,214.5,2.4,3%,92%,5%,33%,24%,17%,14%,13%
2.3%,95.3,110.7,80.0,126.4,222.8,2.3,6%,90%,4%,36%,29%,17%,12%,6%
2.3%,146.3,175.9,103.2,157.9,300.0,2.1,4%,91%,5%,32%,27%,17%,13%,12%
2.2%,208.0,240.9,114.7,236.2,370.6,1.8,3%,92%,5%,37%,21%,14%,12%,15%
2.2%,74.9,89.3,76.1,108.1,191.9,2.6,7%,88%,4%,33%,25%,17%,14%,11%
2.2%,220.1,257.3,128.5,261.2,394.3,1.8,6%,89%,6%,38%,24%,16%,12%,10%
2.2%,205.9,245.9,129.8,246.3,377.5,1.8,5%,90%,5%,36%,25%,16%,12%,11%
2.2%,220.4,261.3,125.8,287.1,394.8,1.8,6%,89%,5%,43%,24%,14%,10%,9%
2.2%,209.2,246.1,114.5,251.1,373.8,1.8,4%,91%,4%,39%,26%,16%,11%,8%
2.2%,201.0,238.9,110.6,239.2,363.4,1.8,8%,88%,4%,39%,25%,18%,12%,7%
2.2%,225.9,274.6,115.4,291.5,394.1,1.7,4%,92%,5%,50%,21%,13%,9%,7%
2.1%,200.0,237.5,127.4,231.1,371.3,1.9,4%,90%,6%,34%,25%,17%,11%,13%
2.1%,194.3,230.8,122.3,221.3,362.7,1.9,5%,90%,5%,41%,26%,16%,10%,7%
2.1%,45.0,51.6,66.7,94.3,141.6,3.1,9%,85%,6%,35%,21%,15%,12%,16%
2.1%,67.0,77.2,75.6,109.4,177.1,2.6,8%,87%,5%,38%,24%,16%,11%,11%
2.1%,222.2,262.2,119.6,257.2,389.3,1.8,2%,93%,5%,35%,25%,18%,12%,11%
2.1%,225.0,274.4,128.4,276.6,400.5,1.8,5%,90%,5%,31%,26%,18%,15%,10%
2.1%,106.0,120.4,83.2,124.7,237.5,2.2,4%,91%,5%,35%,25%,17%,13%,10%
2.1%,207.6,245.5,133.5,252.8,377.6,1.8,4%,91%,5%,36%,25%,16%,11%,12%
2.1%,177.8,207.4,115.9,197.7,341.6,1.9,5%,91%,5%,38%,26%,16%,12%,9%
2.1%,228.4,278.1,129.4,305.4,404.4,1.8,3%,92%,5%,44%,26%,14%,10%,6%
2.1%,178.9,211.5,117.6,208.7,343.0,1.9,4%,91%,5%,40%,27%,16%,11%,6%
2.0%,126.3,146.0,101.5,152.4,272.7,2.2,4%,90%,6%,43%,26%,15%,10%,6%
2.0%,189.1,217.1,106.2,216.1,348.1,1.8,6%,90%,3%,45%,24%,14%,10%,7%
2.0%,83.7,91.1,85.6,131.8,203.8,2.4,3%,93%,4%,32%,26%,16%,14%,13%
2.0%,177.3,210.9,119.8,195.8,342.0,1.9,5%,91%,5%,35%,26%,16%,12%,10%
2.0%,35.6,55.3,49.1,70.1,127.5,3.6,6%,90%,4%,31%,24%,19%,16%,11%
1.9%,204.8,239.6,112.6,246.6,367.7,1.8,8%,88%,4%,38%,24%,18%,12%,9%
1.9%,210.1,251.7,128.9,245.8,384.2,1.8,4%,92%,4%,34%,26%,18%,13%,9%
