Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
0.0%,10.4,15.6,43.7,42.7,75.4,7.2,21%,75%,4%,43%,25%,14%,10%,8%
0.0%,17.5,18.2,29.6,36.3,94.1,5.4,13%,84%,3%,27%,24%,12%,16%,20%
0.0%,19.0,21.9,52.7,42.1,105.3,5.5,18%,78%,4%,28%,22%,17%,15%,17%
0.0%,18.2,25.2,59.0,42.9,104.8,5.7,18%,77%,4%,33%,26%,17%,14%,11%
0.0%,8.3,11.1,38.2,17.1,68.3,8.3,15%,80%,5%,34%,28%,16%,11%,10%
0.0%,9.2,13.9,53.0,39.8,76.5,8.3,15%,81%,4%,35%,27%,16%,12%,9%
0.0%,8.0,12.1,41.0,31.4,67.1,8.4,18%,76%,6%,37%,25%,16%,11%,11%
0.0%,2.9,6.5,54.6,17.3,52.6,17.9,19%,77%,4%,38%,26%,16%,11%,9%
0.0%,16.0,23.2,50.9,56.0,90.5,5.6,15%,80%,5%,38%,24%,15%,12%,11%
0.0%,12.2,21.2,39.5,29.1,80.8,6.6,19%,77%,4%,33%,26%,18%,13%,10%
0.0%,28.5,34.9,54.3,44.5,126.5,4.4,10%,84%,6%,38%,28%,17%,11%,7%
0.0%,5.4,7.2,47.5,26.4,60.9,11.2,23%,73%,4%,38%,21%,14%,12%,14%
0.0%,12.5,18.6,56.4,31.8,87.8,7.0,14%,82%,4%,30%,27%,17%,14%,13%
0.0%,17.3,22.5,53.3,38.2,101.7,5.9,15%,80%,5%,39%,25%,15%,12%,9%
0.0%,11.0,15.8,54.0,25.7,84.3,7.6,20%,76%,4%,34%,25%,17%,14%,10%
0.0%,13.1,14.9,39.7,37.4,81.6,6.2,16%,80%,4%,40%,29%,15%,9%,6%
0.0%,6.4,12.5,36.5,22.5,59.0,9.2,17%,78%,5%,39%,26%,15%,10%,9%
0.0%,9.1,16.5,52.7,33.3,76.7,8.4,18%,78%,4%,37%,27%,16%,11%,10%
0.0%,29.0,29.9,37.6,40.9,121.9,4.2,9%,87%,3%,32%,22%,14%,16%,16%
0.0%,7.9,16.2,39.8,25.8,66.9,8.4,18%,76%,6%,40%,24%,16%,11%,10%
0.0%,8.1,10.2,55.4,22.2,75.1,9.3,20%,77%,4%,33%,25%,17%,15%,10%
0.0%,16.8,27.3,39.7,35.3,92.2,5.5,16%,80%,4%,36%,29%,17%,11%,7%
0.0%,19.6,27.3,55.0,41.2,107.7,5.5,18%,77%,4%,34%,26%,17%,13%,10%
0.0%,16.9,24.6,63.1,40.2,103.2,6.1,13%,82%,4%,33%,26%,16%,13%,12%
0.0%,14.5,19.7,61.4,31.8,95.6,6.6,14%,82%,5%,34%,26%,16%,12%,11%
0.0%,10.7,17.2,41.3,35.7,76.6,7.2,20%,76%,4%,40%,25%,16%,11%,8%
0.0%,8.2,9.2,38.1,19.4,66.6,8.1,9%,86%,4%,31%,28%,17%,13%,12%
0.0%,43.6,48.1,65.8,49.9,147.4,3.4,8%,88%,4%,31%,27%,16%,14%,12%
0.0%,7.3,8.3,28.9,14.8,62.9,8.6,14%,83%,3%,37%,18%,13%,14%,18%
0.0%,17.1,22.1,41.6,38.3,92.2,5.4,18%,77%,5%,44%,25%,15%,9%,6%
0.0%,11.8,16.5,62.4,36.1,87.4,7.4,19%,77%,4%,28%,21%,16%,18%,17%
0.0%,11.2,17.2,48.9,33.1,81.4,7.3,20%,76%,3%,38%,26%,16%,12%,8%
